TID,ES
TID_CLAN_SEARCH_EMPTY,¡Antes tienes que escribir algo!
TID_TEAMS_INVITE_PLAYERS,Invita a tu equipo a jugadores de la lista de abajo.
TID_OWN_TEAM_INVITE,INVITAR A JUGADORES
TID_SKIN_NOT_AVAILABLE,Aspecto no disponible actualmente
TID_DND_DISABLED_LOOKING_FOR_TEAM,¡No se puede cambiar este ajuste si la opción Buscando equipo está activada!
TID_DND_DISABLED_LOOKING_FOR_PLAYERS,¡No se puede cambiar este ajuste si la opción Buscando jugadores está activada!
TID_LFT_DISABLED_LOOKING_FOR_TEAM,¡No se puede cambiar este ajuste si estás en un equipo!
TID_ONLINE_LOOKING_FOR_A_TEAM,Buscando equipo
TID_ONLINE_LOOKING_FOR_PLAYERS,Buscando jugadores
TID_ONLINE_LOOKING_FOR_A_TEAM_SETTING,Buscando equipo
TID_ONLINE_LOOKING_FOR_PLAYERS_SETTING,Buscando jugadores
TID_CHINA_LOGIN_AA_POPUP_DESC_TENCENT,1）本游戏是一款多人实时对战类游戏，适用于年满12周岁及以上的用户，\n建议未成年人在家长监护下使用游戏产品。\n\n2）游戏无明显背景，需要玩家操作各种英雄与队友配合取得胜利，\n游戏有丰富多样的玩法，包含角色养成、竞技等，需要投入一定的时间和精力。\n游戏中存在基于文字的陌生人社交系统，且社交系统的管理遵循相关法律法规。\n\n3）根据国家相关要求，游戏中有用户实名认证系统，未通过实名认证的用户不可进入游戏；\n认证为未成年人的用户除周五、周六、周日及法定节假日每日20时至21时外其他时间均不可进入游戏。游戏中部分玩法和道具需要付费。根据腾讯健康系统管理规定，认证为未成年人的用户将接受以下管理：未满12周岁的用户不能付费；12周岁以上未满16周岁的未成年人用户，单次充值金额不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。\n\n4）游戏以竞技为主题，画面精美，玩法多样，能够带给玩家轻松愉悦的游戏氛围，\n游戏中的排位赛有助于调动玩家的积极情绪，在比赛中获胜能够提升玩家的自信心。\n游戏提供了丰富的社交系统，包括战队、好友等，玩家之间可以互相交流，互相配合，\n共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。
TID_CHINA_LOGIN_AA_POPUP_DESC_YOOZOO,1）本游戏是一款多人实时对战类游戏，适用于年满12周岁及以上的用户，\n建议未成年人在家长监护下使用游戏产品。\n\n2）游戏无明显背景，需要玩家操作各种英雄与队友配合取得胜利，\n游戏有丰富多样的玩法，包含角色养成、竞技等，需要投入一定的时间和精力。\n游戏中存在基于文字的陌生人社交系统，且社交系统的管理遵循相关法律法规。\n\n3）本游戏中有用户实名认证系统，认证为未成年人的用户将接受以下管理：\n游戏中部分玩法和道具需要付费。未满8周岁的用户不能付费：8周岁以上未满16周岁的未成年人用户，单次充值不得超过50元人民币，每月充值金额累计不得超过200元人民币；16周岁以上的未成年人用户，单次充值金额不得超过100元人民币，每月充值金额累计不得超过400元人民币。未成年人仅可在周五、周六、周日和法定节假日每日20时至21时体检1小时网络游戏服务。\n\n4）游戏以竞技为主题，画面精美，玩法多样，能够带给玩家轻松愉悦的游戏氛围，\n游戏中的排位赛有助于调动玩家的积极情绪，在比赛中获胜能够提升玩家的自信心。\n游戏提供了丰富的社交系统，包括战队、好友等，玩家之间可以互相交流，互相配合，\n共同完成游戏任务，有助于促进玩家的社会交流，维持良好的社群关系。
TID_EMOTE_BUNDLE_RETRO_PACK,REACCIONES DE RETRÓPOLIS
TID_SKIN_INFO_CAMPAIGN_RETRO,Retrópolis
TID_SKIN_INFO_CAMPAIGN_RETRO_TITLE,¡Vuelta a Retrópolis!
TID_RETRO_SKINS_INFO,Conjunto de aspectos
TID_EMOTE_SKINS_PACK_REWARD,¡Consigue todos estos aspectos y un lote de reacciones exclusivo!
TID_RANDOM_SKIN_SWITCH_TITLE,ASPECTO ALEATORIO
TID_SKIN_GROUP_POPUP_BP,Aspecto exclusivo del Brawl Pass
TID_SKIN_GROUP_POPUP_CHALLENGE,¡Consigue el aspecto en el desafío!
TID_SKIN_GROUP_POPUP_CHALLENGE_LOCKED,Alcanza <NUM> trofeos para desbloquear los desafíos.
TID_SKIN_SELECTOR_RANDOM_MODE_DISABLED,Solo se puede elegir un aspecto.
TID_SKIN_SELECTOR_RANDOM_MODE_ENABLED,El aspecto se elegirá aleatoriamente entre los seleccionados.
TID_GEAR_TOKEN_DROP_TITLE,FICHAS DE REFUERZO
TID_GEAR_TOKEN_DAMAGE,Fichas de daño
TID_GEAR_TOKEN_HEAL,Fichas de curación
TID_GEAR_TOKEN_RESISTANCE,Fichas de resistencia
TID_GEAR_TOKEN_SHIELD,Fichas de escudo
TID_GEAR_TOKEN_SPEED,Fichas de velocidad
TID_GEAR_TOKEN_TYPE_DAMAGE,DAÑO
TID_GEAR_TOKEN_TYPE_HEAL,SALUD
TID_GEAR_TOKEN_TYPE_RESISTANCE,RESISTENCIA
TID_GEAR_TOKEN_TYPE_SHIELD,ESCUDO
TID_GEAR_TOKEN_TYPE_SPEED,VELOCIDAD
TID_GEAR_TOKEN,Ficha de refuerzo
TID_GEAR_SCRAP_DROP_TITLE,CHATARRA
TID_GEAR_SCRAP,Chatarra
TID_GEAR_UNLOCK_SLOT,DESBLOQUEA HUECO PARA REFUERZO <NUM>
TID_GEAR_CRAFT_TITLE,¿Fabricar <NAME> de nivel <NUM>?
TID_GEAR_UPGRADE_TITLE,¿Mejorar <NAME> al nivel <NUM>?
TID_GEAR_CRAFT_BUTTON,FABRICAR
TID_GEAR_UPGRADE_BUTTON,MEJORAR
TID_GEAR_FOREST_SPEED_TITLE,VELOCIDAD
TID_GEAR_STANDING_HEAL_TITLE,SALUD
TID_GEAR_LOW_HEALTH_DAMAGE_TITLE,DAÑO
TID_GEAR_SLOW_RESISTANCE_TITLE,RESISTENCIA
TID_GEAR_SHIELD_TITLE,ESCUDO
TID_GEAR_FOREST_SPEED_INFO,Aumenta la VELOCIDAD del brawler en los arbustos en un <NUM> %.
TID_GEAR_STANDING_HEAL_INFO,Regenera la SALUD un <NUM> % más rápido.
TID_GEAR_LOW_HEALTH_DAMAGE_INFO,Inflige un <NUM> % de DAÑO EXTRA cuando la salud del brawler está por debajo del 50 %.
TID_GEAR_SLOW_RESISTANCE_INFO,Reduce la duración de los efectos de ATURDIMIENTO y la efectividad de la RALENTIZACIÓN en un <NUM> %.
TID_GEAR_SHIELD_INFO,El brawler recibe un ESCUDO de <NUM> puntos de SALUD. El escudo se regenera en 10 segundos cuando el brawler tiene la salud al máximo.
TID_GEAR_FOREST_SPEED_UPGRADE_INFO,Mayor VELOCIDAD de movimiento en los arbustos.
TID_GEAR_STANDING_HEAL_UPGRADE_INFO,Recupera SALUD cuando el brawler está inmóvil.
TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_INFO,Inflige DAÑO extra cuando la salud del brawler está por debajo del 50 %.
TID_GEAR_SLOW_RESISTANCE_UPGRADE_INFO,Reduce la duración de los efectos de ATURDIMIENTO y la efectividad de la RALENTIZACIÓN.
TID_GEAR_SHIELD_UPGRADE_INFO,Recibe puntos de SALUD extra en forma de ESCUDO.
TID_GEAR_FOREST_SPEED_UPGRADE_TARGET,AUMENTO DE VELOCIDAD
TID_GEAR_STANDING_HEAL_UPGRADE_TARGET,RECUPERACIÓN DE SALUD
TID_GEAR_LOW_HEALTH_DAMAGE_UPGRADE_TARGET,DAÑO EXTRA
TID_GEAR_SLOW_RESISTANCE_UPGRADE_TARGET,RESISTENCIA
TID_GEAR_SHIELD_UPGRADE_TARGET,SALUD DEL ESCUDO
TID_GEAR_UPGRADED,¡REFUERZO MEJORADO!
TID_GEAR_TITLE,REFUERZO
TID_GEAR_NAME_LEVEL_TITLE,<NAME> DE NIVEL <NUM>
TID_GEAR_LEVEL_TITLE,NIVEL <NUM>
TID_GEAR_NOT_ENOUGH_GEAR_SCRAP,¡No tienes suficiente chatarra!
TID_GEAR_NOT_ENOUGH_GEAR_TOKENS,¡No tienes suficientes fichas de refuerzo!
TID_GEAR_LOCKED,Mejora tu brawler al nivel <NUM> para desbloquear los refuerzos.
TID_GEAR_LOCKED_2,Mejora tu brawler al nivel <NUM> para desbloquear este refuerzo.
TID_GEAR_UPGRADE_MAXED_OUT,¡Este refuerzo ya tiene el nivel máximo!
TID_GEAR_VALUE_PERCENT,<NUM> %
TID_GEAR_UPGRADE_VALUE,<OLDNUM> <c00ff00>+<NUM></c>
TID_GEAR_UPGRADE_VALUE_PERCENT,<OLDNUM> % <c00ff00>+<NUM> %</c>
TID_GEAR_INFO,Refuerzo: <cde9700><NAME></c>\n<DESC>
TID_ITEMS_TITLE,OBJETOS
TID_TEAMUP_YOUR_SETTINGS_TITLE,AJUSTES PERSONALES
TID_TRUE_SILVER_BROCK_SKIN,BROCK PLATEADO
TID_TRUE_GOLD_BROCK_SKIN,BROCK DORADO
TID_TRUE_SILVER_BROCK_SKIN_SHOP,BROCK\nPLATEADO
TID_TRUE_GOLD_BROCK_SKIN_SHOP,BROCK\nDORADO
TID_TRUE_SILVER_POCO_SKIN,POCO PLATEADO
TID_TRUE_GOLD_POCO_SKIN,POCO DORADO
TID_TRUE_SILVER_POCO_SKIN_SHOP,POCO\nPLATEADO
TID_TRUE_GOLD_POCO_SKIN_SHOP,POCO\nDORADO
TID_TRUE_SILVER_MAX_SKIN,MAX PLATEADA
TID_TRUE_GOLD_MAX_SKIN,MAX DORADA
TID_TRUE_SILVER_MAX_SKIN_SHOP,MAX\nPLATEADA
TID_TRUE_GOLD_MAX_SKIN_SHOP,MAX\nDORADA
TID_TRUE_SILVER_PAM_SKIN,PAM PLATEADA
TID_TRUE_GOLD_PAM_SKIN,PAM DORADA
TID_TRUE_SILVER_8-BIT_SKIN_SHOP,8-BIT\nPLATEADO
TID_TRUE_GOLD_8-BIT_SKIN_SHOP,8-BIT\nDORADO
TID_TRUE_SILVER_8-BIT_SKIN,8-BIT PLATEADO
TID_TRUE_GOLD_8-BIT_SKIN,8-BIT DORADO
TID_TRUE_SILVER_PAM_SKIN_SHOP,PAM\nPLATEADA
TID_TRUE_GOLD_PAM_SKIN_SHOP,PAM\nDORADA
TID_GLADIATOR_COLETTE_SKIN,COLETTE GLADIADORA
TID_GLADIATOR_COLETTE_SKIN_SHOP,COLETTE\nGLADIADORA
TID_V8-BIT_SKIN,V8-BIT
TID_V8-BIT_SKIN_SHOP,V8-BIT
TID_TEAM_LOOKING_2,Equipo buscando jugadores:
TID_TEAM_PLAYER_2,Estoy buscando equipo:
TID_TEAM_INVITE_TEAM_UP,¡<NAME> quiere formar un equipo contigo!
TID_TEAM_INVITE_API,¡Te han invitado a unirte a una partida de torneo!
TID_SHOWDOWN_63,Río seco
TID_SHOWDOWN_66,Ruinas
TID_KNOCKOUT_13,Venganza de Luis
TID_KNOCKOUT_15,Fénix en llamas
TID_GEMGRAB_45,Perforado
TID_GEMGRAB_46,Fuente de gemas
TID_BOUNTY_23,Zona eléctrica
TID_BOUNTY_24,Fuerza cúbica
TID_BRAWLBALL_45,Agarre firme
TID_BRAWLBALL_46,Código binario
TID_SIEGE_23,Ring robótico
TID_SIEGE_24,Cajón de sastre
TID_HEIST_30,Callejón diagonal
TID_HEIST_32,Barranco de cascabel
TID_HOTZONE_29,Noche en el museo
TID_HOTZONE_31,Zona de peligro
TID_CLUB_LEAGUE_TITLE,LIGA DE CLUBS
TID_CLUB_LEAGUE_HOMESCREEN_TITLE,LIGA DE CLUBS
TID_CLUB_LEAGUE_NAME,LIGA <LEAGUE>
TID_CLUB_LEAGUE_TAB_PROGRESS,PROGRESO
TID_CLUB_LEAGUE_TAB_REWARDS,RECOMPENSAS
TID_CLUB_LEAGUE_BUTTON_TICKETS,Tiques:
TID_CLUB_LEAGUE_EVENT_DAY,DÍA <NUM>/<MAX>
TID_CLUB_LEAGUES_BUTTON_EVENT_DAY,Día <DAY>
TID_CLUB_LEAGUES_BUTTON_DAY_NEW,¡NUEVO DÍA!
TID_CLUB_LEAGUES_BUTTON_NEXT_EVENTS,SIGUIENTES EVENTOS
TID_CLUB_LEAGUES_BUTTON_RACE_COOLDOWN_DESC,Siguiente día de eventos:
TID_CLUB_LEAGUES_BUTTON_SEASON_COOLDOWN_DESC,Siguiente temporada:
TID_CLUB_LEAGUES_BUTTON_SEASON_RANK,Puesto en la temporada: <RANK>
TID_CLUB_LEAGUES_BUTTON_SEASON_RANK_NOT_RANKED,Sin clasificación
TID_CLUB_LEAGUES_BUTTON_JOIN_CLUB_DESC,Únete a un club para participar
TID_CLUB_LEAGUES_BUTTON_REGISTRATION_CLOSED,Registro cerrado
TID_CLUB_LEAGUE_EVENT_TIME_LEFT,Fin: <TIME>
TID_CLUB_LEAGUE_EVENT_RACE_COOLDOWN_DESC,Siguiente día de eventos:
TID_CLUB_LEAGUE_EVENT_RACE_COOLDOWN_TIME,<TIME>
TID_CLUB_LEAGUE_EVENT_SEASON_COOLDOWN_TIME,Nueva temporada en <TIME>
TID_CLUB_LEAGUE_EVENT_SEASON_COOLDOWN_TITLE,LIGA DE CLUBS
TID_CLUB_LEAGUE_EVENT_SEASON_NEXT_EVENTS,Eventos de la siguiente temporada:
TID_CLUB_LEAGUE_TICKETS_PER_PLAY,<NUM><cA4B7E0>/PARTIDA</c>
TID_CLUB_LEAGUE_TROPHIES_MAX_PER_WIN,Máx./victoria
TID_CLUB_LEAGUE_EVENT_TROPHY_WIN_DESC,Victoria con equipo del club:
TID_CLUB_LEAGUE_TEAM_MEMBERS_NO_TEAM,Sin equipo del club
TID_CLUB_LEAGUE_TEAM_MEMBERS_PARTIAL,<NUM>/<MAX> miembros del club en el equipo
TID_CLUB_LEAGUE_TEAM_MEMBERS_CLUB,En un equipo del club
TID_CLUB_LEAGUE_TEAM_MEMBERS_FULL,Equipo del club al completo
TID_CLUB_LEAGUE_TROPHY_REWARD_PER_WIN,<NUM><cFFFFFF>/victoria</c>
TID_CLUB_LEAGUE_WARNING_NOT_IN_LEAGUE,El club no está en ninguna liga.
TID_CLUB_LEAGUE_WARNING_WAITING_LEAGUE,Esperando el inicio de la liga
TID_CLUB_LEAGUE_WARNING_NOT_ENOUGH_TICKETS,¡No tienes suficientes tiques!
TID_CLUB_LEAGUE_WARNING_MORE_TICKETS_NEEDED,¡Necesitas <NUM> tiques más!
TID_CLUB_LEAGUE_WARNING_MORE_TICKETS_NEEDED_SINGLE,¡Necesitas <NUM> tique más!
TID_CLUB_LEAGUE_WARNING_NOT_ENOUGH_TICKETS_FLOATER,¡No tienes suficientes tiques para jugar!
TID_BATTLE_END_CLUB_LEAGUE_TEAM_BONUS,BONUS DE EQUIPO
TID_EVENT_NAME_CLUB_LEAGUE_COMPETITIVE,PELEA ESTELAR
TID_EVENT_LOCATION_CLUB_LEAGUE_COMPETITIVE_DESC,Al mejor de 3
TID_CLUB_LEAGUE_BRONZE_I,BRONCE I
TID_CLUB_LEAGUE_BRONZE_II,BRONCE II
TID_CLUB_LEAGUE_BRONZE_III,BRONCE III
TID_CLUB_LEAGUE_SILVER_I,PLATA I
TID_CLUB_LEAGUE_SILVER_II,PLATA II
TID_CLUB_LEAGUE_SILVER_III,PLATA III
TID_CLUB_LEAGUE_GOLD_I,ORO I
TID_CLUB_LEAGUE_GOLD_II,ORO II
TID_CLUB_LEAGUE_GOLD_III,ORO III
TID_CLUB_LEAGUE_DIAMOND_I,DIAMANTE I
TID_CLUB_LEAGUE_DIAMOND_II,DIAMANTE II
TID_CLUB_LEAGUE_DIAMOND_III,DIAMANTE III
TID_CLUB_LEAGUE_MYTHIC_I,MÍTICO I
TID_CLUB_LEAGUE_MYTHIC_II,MÍTICO II
TID_CLUB_LEAGUE_MYTHIC_III,MÍTICO III
TID_CLUB_LEAGUE_LEGENDARY_I,LEGENDARIO I
TID_CLUB_LEAGUE_LEGENDARY_II,LEGENDARIO II
TID_CLUB_LEAGUE_LEGENDARY_III,LEGENDARIO III
TID_CLUB_LEAGUE_MASTERS,MAESTROS
TID_CLUB_LEAGUE_TIER_1,I
TID_CLUB_LEAGUE_TIER_2,II
TID_CLUB_LEAGUE_TIER_3,III
TID_CLUB_LEAGUE_SEASON_PROGRESS,PROGRESO DE LA TEMPORADA
TID_CLUB_LEAGUE_SEASON_ENDS_IN,Termina en:
TID_CLUB_LEAGUE_WAITING_FINAL_RESULTS,Esperando los resultados finales...
TID_CLUB_LEAGUE_WAITING_FINAL_SEASON_RESULTS,Esperando los resultados de la temporada...
TID_CLUB_LEAGUE_WAITING_FINAL_SEASON_RESULTS_DESC,Los resultados de la temporada se están procesando. ¡Vuelve más tarde para ver los resultados finales!
TID_CLUB_LEAGUE_RESULTS_TITLE,Resultados:
TID_CLUB_LEAGUE_SEASON_OVER,¡TEMPORADA FINALIZADA!
TID_CLUB_LEAGUE_SEASON_OVER_2,TEMPORADA FINALIZADA
TID_CLUB_LEAGUE_MAX_TROPHIES_AVAILABLE,Máximo de trofeos disponibles
TID_CLUB_LEAGUE_SEASON_PROGRESS_TITLE,PROGRESO DE LA TEMPORADA
TID_CLUB_LEAGUE_SEASON_RESULTS_TITLE,RESULTADOS DE LA TEMPORADA
TID_CLUB_LEAGUE_ITEM_PROMOTING,ASCENSO
TID_CLUB_LEAGUE_ITEM_PROMOTING_MULTIPLE,ASCENSO: <NUM>
TID_CLUB_LEAGUE_ITEM_DEMOTING,DESCENSO
TID_CLUB_LEAGUE_ITEM_DEMOTING_MULTIPLE,DESCENSO: <NUM>
TID_CLUB_LEAGUE_COLUMN_CLUB_NAME,NOMBRE DEL CLUB
TID_CLUB_LEAGUE_COLUMN_DAILY_RANKS,CLASIFICACIÓN DIARIA
TID_CLUB_LEAGUE_COLUMN_TOTAL_POINTS,PUNTOS TOTALES
TID_CLUB_LEAGUE_COLUMN_MAX_REWARD,RECOMPENSA MÁXIMA
TID_CLUB_LEAGUE_SHOP_DESC,¡Acelera tu progreso y compra aspectos exclusivos!
TID_CLUB_LEAGUE_SHOP_BUTTON_DESC,ACELERA TU PROGRESO Y COMPRA ASPECTOS EXCLUSIVOS:
TID_CLUB_LEAGUE_BUTTON_VISIT_CLUB_SHOP,TIENDA DEL CLUB
TID_CLUB_LEAGUE_SEASON_END_REWARD_DESC,TU RECOMPENSA DE FINAL DE TEMPORADA
TID_CLUB_LEAGUE_SEASON_END_REWARD_CLAIMED,RECLAMADA
TID_CLUB_LEAGUE_NOT_YET_RANKED,CLUBS NO CLASIFICADOS AÚN
TID_CLUB_LEAGUE_SEASON_REGISTRATION_CLOSED,REGISTRO EN LA TEMPORADA CERRADO
TID_CLUB_LEAGUE_SPECTATE_THIS_SEASON,VER ESTA TEMPORADA
TID_CLUB_LEAGUE_WAIT_NEXT_SEASON,¡Espera a la siguiente temporada para participar!
TID_CLUB_LEAGUE_NEXT_SEASONS_EVENTS,Eventos de la siguiente temporada:
TID_CLUB_LEAGUE_NEXT_SEASON_STARTS_TIME,La siguiente temporada empieza dentro de <TIME>.
TID_CLUB_LEAGUE_SEASON_TICKETS_REWARD_DESC,¡Usa todos los tiques en una temporada para recibir todas las recompensas individuales posibles!
TID_CLUB_LEAGUE_SEASON_TICKETS_PLAYED_TITLE,TIQUES USADOS:
TID_CLUB_LEAGUE_SEASON_TICKETS_PLAYED,<NUM>/<MAX>
TID_CLUB_LEAGUE_SEASON_CLUB_COIN_REWARD,<NUM>/<MAX>
TID_CLUB_LEAGUE_BUY,COMPRAR
TID_CLUB_LEAGUE_BUY_OR,o
TID_CLUB_LEAGUE_NOT_ENOUGH_TICKETS,¡NO TIENES SUFICIENTES TIQUES!
TID_CLUB_LEAGUE_NEED_MORE_GOLDEN_TICKETS,¡Necesitas <NUM> tique(s) de oro más para participar!
TID_CLUB_LEAGUE_NOT_ENOUGH_GOLDEN_TICKETS_AVAILABLE_TO_PURCHASE,No tienes suficientes tiques de oro para realizar la compra.
TID_CLUB_LEAGUE_FEATURE_UNAVAILABLE,Esta función no se encuentra disponible.
TID_CLUB_LEAGUE_NOT_IN_LEAGUE,El club no está en ninguna liga.
TID_CLUB_LEAGUE_NO_CURRENT_LEAGUE_SEASON,¡El club no está en la temporada de liga actual!
TID_DUPLICATOR,LOLA
TID_DUPLICATOR_SHORT_DESC,DESTRUCTORA
TID_DUPLICATOR_DESC,"Guía y actriz a tiempo parcial, Lola se vanagloria de ser la diva por excelencia de Brawlywood.\n\nAtaca con su estola y su súper es una manifestación de su ego."
TID_DUPLICATOR_WEAPON,OJOS DE DIAMANTE
TID_DUPLICATOR_WEAPON_DESC,El accesorio favorito de Lola es también su arma de confianza. Lanza ráfagas cortas de disparos de los ojos con un salero que no se puede aguantar.
TID_DUPLICATOR_ULTI,MEGALOMANÍA
TID_DUPLICATOR_ULTI_DESC,"Lola libera a su ego, que imita todos sus movimientos. Si está demasiado cerca de ella, inflige menos daño."
TID_SPEC_ABI_DUPLICATOR_1,IMPROVISACIÓN
TID_SPEC_ABI_DUPLICATOR_1_DESC,"Cuando lanza sus últimos disparos, Lola inflige un <c00cc00><VALUE2> %</c> de daño extra."
TID_SPEC_ABI_DUPLICATOR_2,LEGIÓN DE FANS
TID_SPEC_ABI_DUPLICATOR_2_DESC,Los proyectiles del ego de Lola recuperarán <c00cc00><VALUE1></c> puntos de salud a los brawlers aliados que se encuentren en su camino.
TID_ACCESSORY_DUPLICATOR_GADGET,POSE GLAMUROSA
TID_ACCESSORY_DUPLICATOR_GADGET_DESC,El ego de Lola se detiene para posar ante las cámaras. Lola adquiere un escudo de un <c00cc00><VALUE1> %</c> durante <c00cc00><VALUE2></c> segundos.
TID_CLUB_UNLOCK_TITLE_CLUBS,CLUBS
TID_CLUB_UNLOCK_TITLE_UNLOCKED,DESBLOQUEADOS
TID_CLUB_UNLOCK_SEARCHING_FOR_CLUB,Buscando el mejor club para ti...
TID_CLUB_UNLOCK_CLUB_LEAGUE_TITLE,LIGA DE CLUBS
TID_CLUB_UNLOCK_JOIN_NEXT_SEASON,¡Únete a la siguiente temporada para ganar recompensas exclusivas!
TID_CLUB_UNLOCK_CLUB_FOUND,¡CLUB ENCONTRADO!
TID_CLUB_UNLOCK_WELCOME_TO_CLUB,¡TE DAMOS LA BIENVENIDA AL CLUB!
TID_CLUB_UNLOCK_LETS_GO,ADELANTE
TID_CLUB_UNLOCK_REQUIRED_TROPHIES,TROFEOS NECESARIOS
TID_CLUB_UNLOCK_INFO_TITLE,Ahora formas parte de:
TID_CLUB_UNLOCK_FOUND_DESC,¡Creemos que este club es perfecto para ti! Siempre puedes abandonarlo y buscar otro nuevo. ¡También puedes crear el tuyo propio!
TID_CLUB_UNLOCK_FOUND_CLUB_DESC,¡Te damos la bienvenida a tu nuevo club! Lucha con tus compañeros del club y alcanza lo más alto de las ligas.
TID_CLUB_UNLOCK_STAT_TAG,Etiqueta del club
TID_CLUB_UNLOCK_STAT_TYPE,Tipo
TID_SHOP_BRAWLOWEEN_TITLE,BRAWL-O-WEEN
TID_SHOP_BRAWLOWEEN_INFO,Conjunto de aspectos
TID_SKIN_INFO_BRAWLOWEEN,Aspectos de Brawl-O-Ween
TID_CLUB_LEAGUE_FLOW_NEW_SEASON,¡Nueva temporada!
TID_CLUB_LEAGUE_FLOW_SEASON_ENDED,¡La temporada ha terminado!
TID_CLUB_LEAGUE_FLOW_CLUB_LEAGUE,LIGA DE CLUBS
TID_CLUB_LEAGUE_FLOW_DAY_NEW,¡NUEVO!
TID_CLUB_LEAGUE_FLOW_EVENT_DAY_STARTED,¡EL DÍA <NUM> DE EVENTOS HA EMPEZADO!
TID_CLUB_LEAGUE_FLOW_EVENT_DAY_ENDED,¡EL DÍA <NUM> DE EVENTOS HA TERMINADO!
TID_CLUB_LEAGUE_FLOW_BUTTON_GO,ACEPTAR
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_SEASON_START,ADELANTE
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_SEASON_END,ACEPTAR
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_DAY_START,ADELANTE
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_DAY_END,ACEPTAR
TID_CLUB_LEAGUE_FLOW_BUTTON_GO_LEAGUE_PROMOTION,ACEPTAR
TID_CLUB_LEAGUE_FLOW_SEASON_RANK,Clasificación de la temporada
TID_CLUB_LEAGUE_FLOW_END_OF_SEASON_REWARD,TU RECOMPENSA DE FINAL DE TEMPORADA
TID_CLUB_LEAGUE_FLOW_TICKETS_PLAYED_TITLE,Tiques usados
TID_CLUB_LEAGUE_FLOW_TICKETS_PLAYED,<NUM><cA4B7E0>/<MAX></c>
TID_CLUB_LEAGUE_FLOW_CLUB_COIN_REWARD,<NUM>/<MAX>
TID_CLUB_LEAGUE_FLOW_PROMOTED,ASCENDIDO
TID_CLUB_LEAGUE_FLOW_TICKET_REFILL,¡Recarga!
TID_CLUB_LEAGUE_TICKET_REFILL_BUBBLE,Se recargan el siguiente día.
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_1,Error en la compra
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_NOT_ENOUGH_COINS,¡Necesitas más monedas!
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_NOT_ENOUGH_GEMS,¡Necesitas más gemas!
TID_CLUB_LEAGUE_BUY_GOLD_TICKETS_ERROR_3,¡No hay tiques disponibles para realizar la compra!
TID_CLUB_LEAGUE_SEASON_ENDS_IN_TIME,La temporada termina dentro de <TIME>.
TID_CLUB_LEAGUE_TICKET_SHOP_TITLE,TIQUES DE ORO
TID_CLUB_LEAGUE_TICKET_SHOP_INFO,Puedes usar hasta <cFEA305><NUM> tiques de oro</c> durante una temporada de la liga de clubs. Úsalos para jugar partidas adicionales y ganar más trofeos del club. Los tiques de oro mejoran la clasificación diaria de tu club del día de eventos en el que se usen.\n\nLos tiques de oro restantes al final de la temporada se transferirán automáticamente a la siguiente.\n\nLos tiques de oro no se tienen en cuenta a la hora de calcular las recompensas de final de temporada.
TID_CLUB_LEAGUE_TICKETS_GET_MORE,Consigue más...
TID_CLUB_LEAGUE_TICKETS_GET_MORE_ONE,¡Consigue otro tique de oro!
TID_CLUB_LEAGUE_TICKETS_GET_MORE_UP_TO_NUM,¡Consigue hasta <NUM> tiques de oro más!
TID_CLUB_LEAGUE_TICKETS_NO_MORE_TICKETS,¡No se pueden comprar más tiques de oro!
TID_CLUB_LEAGUE_TICKETS_OWNED,Tienes: <NUM>
TID_CLUB_LEAGUE_TICKETS_PLAYED,<NUM>/<MAX> usados
TID_CLUB_LEAGUE_YOUR_GOLDEN_TICKETS_THIS_SEASON,Tus tiques de oro esta temporada:
TID_CLUB_LEAGUE_GOLDEN_TICKET_PACK,LOTE DE TIQUES DE ORO
TID_CLUB_LEAGUE_GOLDEN_TICKET,TIQUE DE ORO
TID_CLUB_LEAGUE_TICKET_OUT_OF_STOCK,Agotado
TID_CLUB_LEAGUE_TICKET_NOT_ENOUGH_SPACE,¡No hay espacio suficiente!
TID_CLUB_LEAGUE_GOLDEN_TICKETS_NOT_AVAILABLE,No se pueden comprar tiques en estos momentos.
TID_CLUB_LEAGUE_GOLDEN_TICKET_TUTORIAL,"¡Necesitas más tiques para seguir participando en la liga de clubs!\n\nPuedes comprar y usar hasta <NUM> <cFEA305>tiques de oro</c> por cada temporada. Si los usas estratégicamente, los tiques de oro pueden mejorar la clasificación diaria de tu club del día de eventos en el que se usen."
TID_CLUB_LEAGUE_EVENT_SCHEDULE_BUTTON,DÍAS DE EVENTOS
TID_CLUB_LEAGUE_EVENT_DAYS_TITLE,DÍAS DE EVENTOS
TID_CLUB_LEAGUE_EVENT_SCHEDULE_DAY_TITLE,DÍA <NUM> DE EVENTOS
TID_CLUB_LEAGUE_EVENTS_TITLE,EVENTOS
