TID,TR
TID_LOGIN_CALENDAR_CARD_TIME_TO_CLAIM,Almak için kalan süre: <TIME>
TID_LOGIN_CALENDAR_REWARD_BRAWLER_CHOICE,SAVAŞÇI SEÇ
TID_LOGIN_CALENDAR_REWARD_LEVEL_UPGRADE,SAVAŞÇIYI\nYÜKSELT
TID_LOGIN_CALENDAR_REWARD_PIN,YENİ ROZET
TID_LOGIN_CALENDAR_REWARD_SKIN,YENİ KOSTÜM
TID_LOGIN_CALENDAR_REWARD_GADGET_CHOICE,AKSESUAR SEÇ
TID_LOGIN_CALENDAR_REWARD_PIN_X2,2 YENİ ROZET
TID_LOGIN_CALENDAR_REWARD_STARPOWER_CHOICE,YILDIZ GÜCÜ SEÇ
TID_LOGIN_CALENDAR_REWARD_DESC_BRAWLER_CHOICE,<HERONAME1> veya <HERONAME2> almayı seçebilirsin.
TID_LOGIN_CALENDAR_REWARD_DESC_LEVEL_UPGRADE,"<HERONAME>, <VALUE>. SEVİYEYE yükseltilsin mi?"
TID_LOGIN_CALENDAR_REWARD_DESC_PIN,<VALUE1> rozet <VALUE2>/<VALUE3>. Rozetleri savaşta duygularını ifade etmek için kullanırsın.
TID_LOGIN_CALENDAR_REWARD_DESC_SKIN,Bu yeni kostümü <VALUE> için kullanabilirsin!
TID_LOGIN_CALENDAR_REWARD_DESC_GADGET_CHOICE,<VALUE> için bir aksesuar seç. Aksesuarlar savaşta üç kez kullanılabilen ekstra yeteneklerdir.
TID_LOGIN_CALENDAR_REWARD_DESC_PIN_X2,Bu ödül 2 YENİ ROZET veriyor.
TID_LOGIN_CALENDAR_REWARD_DESC_STARPOWER_CHOICE,<VALUE> için bir yıldız gücü seç. Yıldız güçleri savaşçılara pasif yetenekler kazandırır.
TID_LOGIN_CALENDAR_ERROR_REWARD_EXPIRED,Ödülün süresi doldu.
TID_CHINA_PRIVACY_SETTINGS_BUTTON,Gizlilik Ayarları
TID_CHINA_PRIVACY_SETTINGS_TITLE,GİZLİLİK AYARLARI
TID_CHINA_PRIVACY_HIDE_IN_LEADERBOARDS,LİDERLİK TABLOLARINDA GİZLE
TID_ACCESSORY_CROSS_BOMBER_BURST,TELSİZ KONTROLÜ
TID_ACCESSORY_CROSS_BOMBER_BURST_DESC,"Grom, bir sonraki saldırısında hızlıca <c00cc00><VALUE1></c> telsiz atar."
TID_ACCESSORY_SNAKE_OIL_SPREAD,DESTEK ATIŞLARI
TID_ACCESSORY_SNAKE_OIL_SPREAD_DESC,"Byron, sonraki saldırısında bir yerine <c00cc00><VALUE1></c> dart atar, her bir dart<ccc0000>%<VALUE2></c> daha az hasar verir ve <ccc0000>%<VALUE3></c> daha az iyileştirir."
TID_GEMGRAB_48,Safir Düzlükler
TID_ACCESSORY_STICKY_BOMB_VISION,KALINTI
TID_ACCESSORY_STICKY_BOMB_VISION_DESC,"Squeak'in bir sonraki yapışkan bombası patladıktan sonra, düşmanları yavaşlatan ve dostlarının <c00cc00><VALUE1></c> saniyeliğine çalılarda saklananları görmesini sağlayan bir kalıntı bırakır."
TID_ACCESSORY_ELECTRO_SNIPER_BOUNCE,TERS KUTUP
TID_ACCESSORY_ELECTRO_SNIPER_BOUNCE_DESC,Belle'in bir sonraki elektro oku duvarlardan seker.
TID_TUTORIAL_SD_FIRSTBATTLE,"En son ayakta kalan savaşçı kazanır! Gücünü artırmak için güç küplerini toplamalısın. Zehirli bulutlar yaklaşıyor, elini çabuk tut!"
TID_ACCESSORY_KICKER_DUDE_SWEEP,DÖNER TEKME
TID_ACCESSORY_KICKER_DUDE_SWEEP_DESC,Fang kendi etrafında dönerek çevresindeki tüm düşmanlara vurur ve hepsini <c00cc00><VALUE1></c> saniyeliğine sersemletir.
TID_TDM_30_SECONDS,30 SANİYE KALDI!
TID_TDM_DOUBLE_TAKEDOWN,İKİ KİŞİ YOK EDİLDİ!
TID_TDM_TEAM_TAKEDOWN,TAKIM YOK EDİLDİ!
TID_ACCESSORY_KNIGHT_RAGE,ÇÜRÜK MUZ
TID_ACCESSORY_KNIGHT_RAGE_DESC,"Ash, <ccc0000>%<VALUE1></c> sağlık kaybeder ve anında <c00cc00>%<VALUE2></c> öfkelenir."
TID_ACCESSORY_BLOCKED_REQUIRES_HEALTH,Daha fazla sağlık gerekiyor!
TID_ACCESSORY_BLOCKED_RAGE_ALREADY_FULL,Öfke zaten dolu!
TID_STAT_BIG_EGG_DAMAGE,En büyük yumurta hasarı
TID_TUTORIAL_SD_FIRST,Eğitim Adası
TID_OVERTIME_PAYLOAD,Uzatmalar!\nMaden arabaları artık daha hızlı!
TID_GATCHA_SCREEN_WCPP_DROP_TITLE,TÜM SAVAŞÇILAR İÇİN GÜÇ PUANI
TID_GATCHA_SCREEN_WCPP_DROP_DESC,Tüm ödülleri aldıktan sonra bir savaşçı seç.
TID_EMOTE_BUNDLE_BIODOME_PACK,Biyodom kostüm ve rozet seti
TID_SHOP_BIODOME_SKINS,Biyodom kostümleri
TID_SHOP_BIODOME_TITLE,BİYODOM
TID_SHOP_BIODOME_INFO,Kostüm seti
TID_SKIN_INFO_CAMPAIGN_BIODOME,Biyodom kostümü
TID_LOGIN_CALENDAR_RIGHT_TITLE_WAIT,SONRAKİ ÖDÜL
TID_LOGIN_CALENDAR_REWARD_BRAWLER,YENİ SAVAŞÇI
TID_LOGIN_CALENDAR_NOTIFICATIONS_TITLE,Ücretsiz ödülleri kaçırma!
TID_LOGIN_CALENDAR_NOTIFICATIONS_DESCRIPTION,Alabileceğin ödül olduğunda bildirim gönderilsin.
TID_LOGIN_CALENDAR_NOTIFICATIONS_DECLINE,BELKİ SONRA
TID_LOGIN_CALENDAR_NOTIFICATIONS_ACCEPT,BİLDİRİM GÖNDER
TID_LOGIN_CALENDAR_WARNING,<VALUE>. günde oyuna girmeyi unutma yoksa kalan ödülleri kaybedersin!
TID_LOGIN_CALENDAR_TIP_TITLE,İPUCU:
TID_LOGIN_CALENDAR_TIP_SKINS,Shelly'i seçerken kostümler düğmesini kullanarak kostümünü değiştirebilirsin.
TID_LOGIN_CALENDAR_TIP_PINS,Rozetleri savaşta duygularını ifade etmek için kullanırsın.
TID_LOGIN_CALENDAR_TIP_GADGET,Aksesuarlar savaşta üç kez kullanılabilen ekstra yeteneklerdir.
TID_LOGIN_CALENDAR_TIP_STAR_POWER,Yıldız güçleri savaşçılara pasif yetenekler kazandırır.
TID_LOGIN_CALENDAR_PINS_DESCRIPTION,Sonraki rozet <VALUE>. GÜN gelecek.\nKoleksiyonu tamamlamak için her gün giriş yapmayı unutma!
TID_LOGIN_CALENDAR_BUTTON_TITLE,SONRAKİ GÜNLÜK HEDİYE:
TID_LOGIN_CALENDAR_REMINDER_1_TITLE,14 gün boyunca <HERONAME> için ÜCRETSİZ ödüller!
TID_LOGIN_CALENDAR_REMINDER_1_DESCRIPTION,Her gün giriş yaparak harika kostüm ve rozetler kazanabilir ve<HERONAME> seviyeni yükseltebilirsin.
TID_LOGIN_CALENDAR_REMINDER_1_BUTTON,SONRAKİ
TID_LOGIN_CALENDAR_REMINDER_2_TITLE,15. günde ÜCRETSİZ <cff92f9>destansı</c> savaşçı
TID_LOGIN_CALENDAR_REMINDER_2_DESCRIPTION,Günlük hediyelerin hepsini almak için bir günü bile kaçırma!
TID_LOGIN_CALENDAR_REMINDER_2_BUTTON,HAYDİ!
TID_LOGIN_CALENDAR_REWARD_DESC_GADGET,<HERONAME> için <VALUE> aksesuarını açar. Aksesuarlar savaşta üç kez kullanılabilen ekstra yeteneklerdir.
TID_LOGIN_CALENDAR_REWARD_DESC_STARPOWER,<HERONAME> için <VALUE> yıldız gücünü açar. Yıldız güçleri savaşçılara pasif yetenekler kazandırır.
TID_LOGIN_CALENDAR_SCREEN_BRAWLER_CHOICE_TAGLINE_1,Çift Çifte
TID_LOGIN_CALENDAR_SCREEN_BRAWLER_CHOICE_TAGLINE_2,Alan Hasarı
TID_LOGIN_CALENDAR_CHOICE_OR,VEYA
TID_LOGIN_CALENDAR_SCREEN_UPGRADE_TITLE,<HERONAME> YÜKSELTİLDİ!
TID_LOGIN_CALENDAR_SCREEN_UPGRADE_ATTACK_DAMAGE,Saldırı Hasarı
TID_LOGIN_CALENDAR_SCREEN_UPGRADE_SUPER_DAMAGE,Süper Hasarı
TID_LOGIN_CALENDAR_SCREEN_PINS_TITLE,<HERONAME> İÇİN ROZETLER
TID_LOGIN_CALENDAR_SCREEN_PINS_COLLECTED,<VALUE1>/<VALUE2> alındı
TID_LOGIN_CALENDAR_BUTTON_CHOOSE,SEÇ
TID_LOGIN_CALENDAR_REWARD_DESC_BRAWLER,<HERONAME>
TID_DOCTOR_EDGAR_SKIN,DOKTOR EDGAR
TID_DOCTOR_EDGAR_SKIN_SHOP,DOKTOR\nEDGAR
TID_FIREFLY_RICO_SKIN,ATEŞ BÖCEĞİ RICO
TID_FIREFLY_RICO_SKIN_SHOP,ATEŞ BÖCEĞİ\nRICO
TID_STAG_BEETLE_MEG_SKIN,BÖCEK MEG
TID_STAG_BEETLE_MEG_SKIN_SHOP,BÖCEK\nMEG
TID_SAVAGE_BULL_SKIN,ASLAN BULL
TID_SAVAGE_BULL_SKIN_SHOP,ASLAN\nBULL
TID_WASP_BO_SKIN,ARI BO
TID_WASP_BO_SKIN_SHOP,ARI\nBO
TID_MR_FLY_SKIN,BAY SİNEK
TID_MR_FLY_SKIN_SHOP,BAY SİNEK
TID_BUNNY_GROM_SKIN,TAVŞAN GROM
TID_BUNNY_GROM_SKIN_SHOP,TAVŞAN\nGROM
TID_MANTIS_ROSA_SKIN,MANTIS ROSA
TID_MANTIS_ROSA_SKIN_SHOP,MANTİS\nROSA
TID_SPIKY_EVE_SKIN,DİKENLİ EVE
TID_SPIKY_EVE_SKIN_SHOP,DİKENLİ\nEVE
TID_CORRUPTED_SPROUT_SKIN,ŞEYTANİ SPROUT
TID_CORRUPTED_SPROUT_SKIN_SHOP,ŞEYTANİ\nSPROUT
TID_IVY_BELLE_SKIN,SARMAŞIK BELLE
TID_IVY_BELLE_SKIN_SHOP,SARMAŞIK\nBELLE
TID_TRUE_GOLD_SPROUT_SKIN,SAF ALTIN SPROUT
TID_TRUE_GOLD_SPROUT_SKIN_SHOP,SAF ALTIN\nSPROUT
TID_TRUE_GOLD_SURGE_SKIN,SAF ALTIN SURGE
TID_TRUE_GOLD_SURGE_SKIN_SHOP,SAF ALTIN\nSURGE
TID_TRUE_GOLD_RUFFS_SKIN,SAF ALTIN RUFFS
TID_TRUE_GOLD_RUFFS_SKIN_SHOP,SAF ALTIN\nRUFFS
TID_TRUE_GOLD_BUZZ_SKIN,SAF ALTIN BUZZ
TID_TRUE_GOLD_BUZZ_SKIN_SHOP,SAF ALTIN\nBUZZ
TID_TRUE_SILVER_SPROUT_SKIN,SAF GÜMÜŞ SPROUT
TID_TRUE_SILVER_SPROUT_SKIN_SHOP,SAF GÜMÜŞ\nSPROUT
TID_TRUE_SILVER_SURGE_SKIN,SAF GÜMÜŞ SURGE
TID_TRUE_SILVER_SURGE_SKIN_SHOP,SAF GÜMÜŞ\nSURGE
TID_TRUE_SILVER_RUFFS_SKIN,SAF GÜMÜŞ RUFFS
TID_TRUE_SILVER_RUFFS_SKIN_SHOP,SAF GÜMÜŞ\nRUFFS
TID_TRUE_SILVER_BUZZ_SKIN,SAF GÜMÜŞ BUZZ
TID_TRUE_SILVER_BUZZ_SKIN_SHOP,SAF GÜMÜŞ\nBUZZ
TID_DEATHMATCH_1,Sonsuz Lanet
TID_DEATHMATCH_2,Kamp Alanı
TID_DEATHMATCH_3,Dost Ateşi: Yok
TID_DEATHMATCH_4,Taşıyıcı Değişimi
TID_DEATHMATCH_5,Avcı Cenneti
TID_DEATHMATCH_6,Korkunç Dal
TID_DEATHMATCH_7,Dört Kat Hasar
TID_PAYLOAD_5,Çekince
TID_PAYLOAD_7,Kargo
TID_PAYLOAD_8,İtiş Gücü
TID_PAYLOAD_9,Yük Manifestosu
TID_PAYLOAD_10,Tam Kapasite
TID_PAYLOAD_13,Görülmez Hasar
TID_PAYLOAD_15,Özel Teslimat
TID_BRAWL_PASS_SEASON_10,BİYODOM
TID_DEATHMATCH_8,Kaçış Atlayışı
TID_CLUB_LEAGUE_TIE_BREAKER_TITLE,EŞİTLİK DURUMUNDA
TID_CLUB_LEAGUE_TIE_BREAKER_DESCRIPTION,EŞİTLİK DURUMUNDA SIRALAMA\n\n1. Kulüp puanı\n2. Kulüp kupası (toplam)\n3. Kullanılan bilet (toplam)\n4. Aktif üye sayısı\n5. İlk sonuç değişimi\n
TID_GEMGRAB_49,Açık Alan
TID_BRAWLBALL_47,Hat Gerisi
TID_KNOCKOUT_16,Nehir Yatağı
TID_KNOCKOUT_17,Su Pınarı
TID_HOTZONE_32,Çift Taraflı
TID_BRAWLBALL_48,Saç Kurutucu
TID_GEMGRAB_50,Elmas Takası
TID_GEMGRAB_51,Rakip Kaleler
TID_SHOWDOWN_69,Kanyon Nehirleri
TID_SHOWDOWN_70,Mezarlık
TID_RANKED_BATTLE_END_EPIC,Destansı zafer!
TID_RANKED_BATTLE_END_CLOSE,Çekişmeli maç!
TID_JETPACK_GIRL,JANET
TID_JETPACK_GIRL_SHORT_DESC,KESKİN NİŞANCI
TID_JETPACK_GIRL_DESC,"Gösterinin yıldızı Janet, etrafındaki herkese gösteriş yapmaya bayılır.\n\nBir de kardeşi Bonnie'nin başı sürekli belaya girmese..."
TID_JETPACK_GIRL_WEAPON,YÜKSEK NOTA
TID_JETPACK_GIRL_WEAPON_DESC,Janet şarkı söylemeye başlayıp bir nota oluşturur. Elinde tuttuğu sürece notanın etki alanı daralır ve menzili artar.
TID_JETPACK_GIRL_ULTI,YÜKSEKLERDE
TID_JETPACK_GIRL_ULTI_DESC,"Janet, sırt roketiyle havalanır ve özellik etkin olduğu sürece rakiplerine havadan saldırır."
TID_SPEC_ABI_JETPACK_GIRL_1,KUŞ BAKIŞI
TID_SPEC_ABI_JETPACK_GIRL_1_DESC,"Janet sırt roketini kullanarak uçtuğunda, etrafındaki geniş bir alanda çalılarda saklanan herkes görünür olur."
TID_SPEC_ABI_JETPACK_GIRL_2,SOLFEJ EĞİTİMİ
TID_SPEC_ABI_JETPACK_GIRL_2_DESC,Janet'in saldırısı <c00cc00>%<VALUE1></c> daha hızlı odaklanır.
TID_ACCESSORY_JETPACK_GIRL_GADGET_1,HOPARLÖR
TID_ACCESSORY_JETPACK_GIRL_GADGET_1_DESC,"Janet, yok olana kadar etrafındaki tüm düşmanlara saniye başına <c00cc00><VALUE1></c> hasar veren bir hoparlör bırakır."
TID_ACCESSORY_JETPACK_GIRL_GADGET_2,SAHNE ARKASI
TID_ACCESSORY_JETPACK_GIRL_GADGET_2_DESC,Janet'in bir sonraki yüksek notası kendisini geri iter. Bu şekilde duvarların arkasına geçebilir! Saldırısı ne kadar odaklanırsa o kadar geriye gider.
TID_CANNON_GIRL,BONNIE
TID_CANNON_GIRL_SHORT_DESC,KESKİN NİŞANCI
TID_CANNON_GIRL_DESC,"Bonnie ve biricik topu \qClyde\q, ortalığı karıştırmaya bayılır. Bu sevimli küçük kızın bu kadar fazla felakete neden olabileceği kimin aklına gelirdi?"
TID_CANNON_GIRL_WEAPON,DİŞ ATIŞI
TID_CANNON_GIRL_WEAPON_DESC,"Bonnie, Clyde ile düşmanlarına DEV bir diş atar."
TID_CANNON_GIRL_ULTI,YILDIZATAR
TID_CANNON_GIRL_ULTI_DESC,"Clyde, Bonnie'yi havaya fırlatır. Bonnie böylece engellerin üzerinden uçabilir ve yere indiğinde yakınındaki düşmanlara hasar verir."
TID_CANNON_GIRL_SMALL_WEAPON,BOMBACI YELEĞİ
TID_CANNON_GIRL_SMALL_WEAPON_DESC,"Bonnie, yeleğinin kolundan birkaç küçük el bombası fırlatır."
TID_CANNON_GIRL_SMALL_ULTI,CLYDE
TID_CANNON_GIRL_SMALL_ULTI_DESC,"Bonnie, Clyde'ı çağırır ve üstüne atlayıp topu kontrol etmeye başlar."
TID_SPEC_ABI_CANNON_GIRL_1,BARUT
TID_SPEC_ABI_CANNON_GIRL_1_DESC,Bonnie'nin yıldızatar menzili <c00cc00>%<VALUE1></c> artar.
TID_SPEC_ABI_CANNON_GIRL_2,AZI DİŞİ
TID_SPEC_ABI_CANNON_GIRL_2_DESC,Bonnie'nin attığı diş bir hedefe çarptığında saçılır ve etrafındaki düşmanlara ekstra <c00cc00>%<VALUE1></c> hasar verir.
TID_ACCESSORY_CANNON_GIRL_SPEED,ENERJİ PATLAMASI
TID_ACCESSORY_CANNON_GIRL_SPEED_DESC,Clyde'ın hareket ve doldurma hızı <c00cc00><VALUE2></c> saniyeliğine <c00cc00>%<VALUE1></c> artar.
TID_ACCESSORY_CANNON_GIRL_DASH,ÇARPIŞMA TESTİ
TID_ACCESSORY_CANNON_GIRL_DASH_DESC,"Bonnie ileri atılır, çarptığı düşmanlar <c00cc00><VALUE1></c> hasar alır ve geri püskürtülür."
TID_ACCESSORY_BLOCKED_REQUIRES_CANNON,Clyde gerekiyor!
TID_ACCESSORY_BLOCKED_REQUIRES_ASSASSIN,Bonnie gerekiyor!
TID_LOGIN_CALENDAR_MISSED,Kalan giriş ödüllerini kaçırdın.
TID_ACCESSORY_POWER_LEVELER_EXTRA_LEVELS,YÜKSEK VOLTAJ
TID_ACCESSORY_POWER_LEVELER_EXTRA_LEVELS_DESC,"Surge, devrelerine aşırı yükleme yapar ve <c00cc00><VALUE2></c> saniyeliğine seviyesini <c00cc00><VALUE1></c> artırır."
TID_ACCESSORY_POWER_LEVELER_SHIELD,GÜÇ KALKANI
TID_ACCESSORY_POWER_LEVELER_SHIELD_DESC,"Sonraki <c00cc00><VALUE1></c> saniye boyunca, Surge aldığı hasarın <c00cc00>%<VALUE2></c> kadarını enerjiye çevirir ve <c00cc00><VALUE3></c> mermi doldurur."
TID_GAME_MODE_27,ROBOT AVI
TID_GAME_MODE_27_DESC,Robot işgaline karşı savunma yapıyoruz! Kazanmak için robotları yok edip cıvataları toplamalısın. <MAX_SCORE> cıvata toplayan takım maçı kazanır!
TID_INVASION_INTRO_TEXT,Robotları yok et!
TID_NOTIFICATION_INVASION,Yeni ROBOT AVI haritası açıldı! Yeni ödüller kazanma zamanı!
TID_INVASION_1,İntikal
TID_INVASION_2,Ayrı
TID_INVASION_3,Yeşil Vadi
TID_INVASION_4,Köşeler
TID_INVASION_5,Dünya Savaşı
TID_INVASION_6,İmha Bölgesi
TID_INVASION_7,Hedef Tahtası
TID_INVASION_8,Sürpriz
TID_INVASION_9,Robot Saldırısı!
TID_INVASION_10,Doğrusal Bloklar
TID_INVASION_11,Koridorlar
TID_INVASION_12,Nehir Yatağı
TID_INVASION_13,Giden Yolcu
TID_INVASION_14,Kaleler
TID_INVASION_15,Büyük Robot
TID_INVASION_16,Keşmekeş
TID_SPRAYS_TUTORIAL_TITLE,SPREYLER
TID_SPRAYS_TUTORIAL_HEADER,SAVAŞTA KENDİNİ İFADE ET!
TID_BRAWL_PASS_CANCEL_QUEST_REROLL,DEĞİŞTİRMEYİ İPTAL ET
TID_BRAWL_PASS_REROLL_QUEST,GÖREVİ DEĞİŞTİR
TID_BRAWL_PASS_QUEST_REROLL_COUNT,Kalan değiştirme hakkı: <num>/<max>
TID_BRAWL_PASS_QUEST_REROLL_REFRESH_TIME,Yenilenmesine: <time>
TID_YOU_HAVE_USED_ALL_REROLLS,Tüm değiştirme haklarını kullandın. Brawl Pass ile haklarını artırabilirsin!
TID_YOU_HAVE_USED_ALL_REROLLS_HAS_PREMIUM,Tüm değiştirme haklarını kullandın!
TID_QUEST_REROLL_INTRO,DEĞİŞTİRİLECEK GÖREVİ SEÇ
TID_QUEST_REROLL_ACCEPT,KABUL ET
TID_QUEST_REROLL_REJECT,REDDET
TID_REROLL_NOT_POSSIBLE_FOR_ITEM,Bu görev değiştirilemez.
TID_CONFIRM_QUEST_REROLL,GÖREV DEĞİŞTİRİLSİN Mİ?
TID_CONFIRM_QUEST_REROLL_DESC,Yeni görevde <char> ve <type> gereksinimleri olmayacak...\nKalan değiştirme hakkı: <rerolls>
TID_CONFIRM_QUEST_REROLL_DESC_ONLY_TYPE,Yeni görevde <type> gereksinimleri olmayacak...\nKalan değiştirme hakkı: <rerolls>
TID_QUEST_TYPE_REQ_WIN,ZAFER
TID_QUEST_TYPE_REQ_KILL,DÜŞMAN YOK ETME
TID_QUEST_TYPE_REQ_DEAL_DAMAGE,HASAR
TID_QUEST_TYPE_REQ_HEAL,İYİLEŞME
TID_QUEST_TYPE_REQ_PLAY_AGAIN,TEKRAR OYNAMA
TID_QUEST_TYPE_REQ_TEAM_PLAY,TAKIM OYUNU
TID_QUEST_TYPE_REQ_MODE_SPECIFIC,MOD
TID_CHINA_PRIVACY_SHOW_IN_LEADERBOARDS,LİDERLİK TABLOLARINDA GÖSTER
TID_CHINA_PRIVACY_SHOW_PLAYER_PROFILE,OYUNCU PROFİLİNİ GÖSTER
TID_CHINA_PRIVACY_SHOW_CLUB_DETAILS,KULÜP BİLGİLERİNİ GÖSTER
TID_CHINA_PRIVACY_ALLOW_SPECTATE,İZLEMEYE İZİN VER
TID_CHINA_PRIVACY_INFO_OLD_PLAYERS_TITLE,Önemli Duyuru
TID_CHINA_PRIVACY_INFO_OLD_PLAYERS_DESC,Değerli Brawl Stars oyuncumuz:\nOyuna çeşitli gizlilik ayarları ekledik ve bu ayarlar varsayılan olarak açık. Ayarlar > Gizlilik Ayarları kısmından değiştirebilirsiniz.
TID_CHINA_PRIVACY_INFO_NEW_PLAYERS_TITLE,Önemli Duyuru
TID_CHINA_PRIVACY_INFO_NEW_PLAYERS_DESC,Değerli Brawl Stars oyuncumuz:\nOyuna çeşitli gizlilik ayarları ekledik ve bu ayarlar varsayılan olarak kapalı. Ayarların açılmasına izin veriyor musunuz?
TID_CHINA_PRIVACY_INFO_NEW_PLAYERS_BUTTON_ACCEPT,KABUL ET
TID_CHAT_JUST_DISABLED,"Diğer oyuncular, uygunsuz sözlerin nedeniyle hakkında şikayette bulundu. Sohbet özelliğin <TIME> için devre dışı bırakıldı."
TID_CHAT_UNAVAILABLE,Sohbet özelliği <TIME> için devre dışı.
TID_CHAT_BANNED_REASON,"Diğer oyuncular, uygunsuz sözlerin nedeniyle hakkında şikayette bulundu."
TID_CHAT_BANNED_PERIOD_OF,Genel sohbet alanında sessize alındın. Kalan süre:
TID_CHAT_FAIL_BANNED,<TIME> için sessize alındın.
TID_CHAT_JUST_BANNED,"Diğer oyuncular, uygunsuz sözlerin nedeniyle hakkında şikayette bulundu. <TIME> için sessize alındın."
TID_TENCENT_CUSTOMER_SUPPORT,Tencent Müşteri Desteği
TID_SELF_SERVICE_BUTTON,Makaleler
TID_REPORT_CLUB_CONFIRMATION_TITLE,<NAME> hakkında şikayet
TID_REPORT_CLUB_CONFIRMATION,Uygunsuz davranışları nedeniyle <NAME> hakkında şikayette bulunmak istediğine emin misin?
TID_REPORT_PLAYER_CONFIRMATION_TITLE,<NAME> hakkında şikayet
TID_REPORT_PLAYER_CONFIRMATION,Uygunsuz davranışları nedeniyle <NAME> hakkında şikayette bulunmak istediğine emin misin?
TID_REPORT_BATTLE_PLAYER_CONFIRMATION_TITLE,<NAME> hakkında şikayet
TID_REPORT_BATTLE_PLAYER_CONFIRMATION,Uygunsuz davranışları nedeniyle <NAME> hakkında şikayette bulunmak istediğine emin misin?
TID_DELETE_ACCOUNT_TITLE,Hesabımı Sil
TID_UGC_INPUT_FEATURE_UNAVAILABLE,Bu özellik şu anda kullanılamıyor.
TID_PLAYER_PROFILE_PRIVATE,Bu oyuncunun profili gizli olarak ayarlanmış.
TID_PLAYER_CLUB_INFO_PRIVATE,Bu oyuncunun kulüp bilgileri gizli olarak ayarlanmış.
TID_CLAN_RESPONSE_111,Bu özellik şu anda kullanılamıyor.
TID_CLAN_RESPONSE_120,"Açıklama içeriğine izin verilmedi, lütfen farklı bir içerik deneyin."
TID_CHINA_LOGIN_DESC_YOOZOO,本公司积极履行《网络游戏行业防沉迷自律公约》抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。根据国家新闻出版署《关于防止未成年人沉迷网络游戏的通知》、《关于进一步严格管理切实防止未成年人沉迷网络游戏的通知》，所有网络游戏用户均需使用有效身份信息完成账号实名注册后方可进入游戏，认证为未成年的玩家将受到防沉迷功能限制。沪网文【2018】8544-517号、新出网证（沪）字33号 著作权人：SUPERCELL OY 出版单位：上海游族信息技术有限公司 运营单位：上海游族信息技术有限公司 批准文号：国新出审【2020】552号 出版物号：ISBN 978-7-498-07472-0
TID_YOOZOO_LOGIN_AGREEMENTS,"<TOS>, <PP>, <CHILDREN> ve <THIRDPARTY>'ni dikkatlice okudum ve kabul ediyorum."
TID_YOOZOO_TERMS_CHILDREN,Yoozoo Çocukların Gizliliğini Koruma Yönergeleri
TID_TERMS_CHILDREN_BUTTON_YOOZOO,Yoozoo Çocukların Gizliliğini Koruma Yönergeleri
TID_YOOZOO_THIRDPARTY_INFO,Üçüncü Taraf Bilgi Paylaşım Listesi
TID_THIRD_PARTY_SHARING_BUTTON_YOOZOO,Üçüncü Taraf Bilgi Paylaşım Listesi
TID_YOOZOO_SYSTEM_SETTINGS_BUTTON,Sistem Ayarları
TID_SKIN_PIN_INCLUDED,+ Özel rozet!
TID_SKIN_PINS_INCLUDED,+ Özel rozet paketi!
TID_OWN_TEAM_BANS,MAVİ TAKIMIN YASAKLARI
TID_ENEMY_TEAM_BANS,KIRMIZI TAKIMIN YASAKLARI
TID_PRE_PICK_YOUR_BRAWLER,SAVAŞÇINI BELİRLE
TID_PRE_PICK,BELİRLE
TID_CANCEL,İPTAL
TID_WANTS_TO_PLAY,OYNAMAK İSTİYOR
TID_WANT_TO_PLAY,OYNAMAK İSTİYOR
TID_WANTS_TO_PLAY_MULTIPLE_TEAMMATES,<num> TAKIM ARKADAŞLARI
TID_BRAWL_PASS_SEASON_11,TEHLİKELİ GÖSTERİ
TID_SHOP_STUNTSHOW_SKINS,Tehlikeli Gösteri Kostümleri
TID_SHOP_STUNTSHOW_TITLE,TEHLİKELİ GÖSTERİ
TID_SHOP_STUNTSHOW_INFO,Kostüm seti
TID_SKIN_INFO_CAMPAIGN_STUNTSHOW,Tehlikeli Gösteri Kostümü
TID_EMOTE_BUNDLE_STUNTSHOW_PACK,Tehlikeli Gösteri Kostüm Rozetleri
TID_EMOTE_BUNDLE_GOLDENWEEK_PACK,Altın Hafta Kostüm Rozetleri
TID_SKIN_INFO_CAMPAIGN_GOLDENWEEK,Altın Hafta Kostümü
TID_SHOP_GOLDENWEEK_SKINS,Altın Hafta Kostümleri
TID_SHOP_GOLDENWEEK_TITLE,ALTIN HAFTA
TID_SHOP_GOLDENWEEK_INFO,Kostüm seti
TID_SPRAY_BRAWLER_COMING_SOON,Savaşçı spreyi yakında geliyor.
TID_SHOP_VILLAINS_SKINS,Çete Kostümü
TID_SHOP_VILLAINS_TITLE,ÇETE
TID_SHOP_VILLAINS_INFO,Kostüm seti
TID_EMOTE_BUNDLE_VILLAINS_PACK,Çete Kostüm Rozetleri
TID_SKIN_INFO_CAMPAIGN_VILLAINS,Çete Kostümü
TID_HOTZONE_33,Açık Alan
TID_KNOCKOUT_18,Perspektif
TID_TRUE_GOLD_BELLE_SKIN,SAF ALTIN BELLE
TID_TRUE_GOLD_BELLE_SKIN_SHOP,SAF ALTIN\nBELLE
TID_TRUE_SILVER_BELLE_SKIN,SAF GÜMÜŞ BELLE
TID_TRUE_SILVER_BELLE_SKIN_SHOP,SAF GÜMÜŞ\nBELLE
TID_TRUE_GOLD_STU_SKIN,SAF ALTIN STU
