"TID","UK"
"TID_COLLAB_KATANA_SUSHI_SPLIT_CHANCES","ШАНСИ НА РОЗДІЛЕННЯ"
"TID_COLLAB_KATANA_SUSHI_CHANCE_TO_SPLIT","Отримуй до 8 нагород із кожного суші-ролу!"
"TID_COLLAB_KATANA_SUSHI_ROLLS","СУШІ-РОЛИ"
"TID_COLLAB_KATANA_CLUB_DESCRIPTION","Збирай суші разом із клубом!"
"TID_COLLAB_KATANA_PLUS_WASABI_POWERS","+ СИЛИ ВАСАБІ"
"TID_COLLAB_KATANA_MORE_SUSHI","ЩЕ СУШІ!"
"TID_SKIN_INFO_FEUDALJAPAN","БИТВА ЗА КОРОЛІВСТВО КАТАНИ"
"TID_SKIN_INFO_KAIJU","ВТОРГНЕННЯ КАЙДЗЮ"
"TID_CLUB_PIGGY_BANK_SUSHI_INFO_TITLE_3","ЗАБИРАЙ СУШІ"
"TID_CLUB_PIGGY_BANK_SUSHI_INFO_TEXT_3","Забирай суші одразу як їх здобудеш! Залишки автоматично забиратимуться."
"TID_MUTATION_CHARLIE_DESC","Постійно випускає павуків під час руху."
"TID_MUTATION_MAISIE_DESC",""
"TID_GEISHA_GADGET_AVAILABLE_POWER_1","Доступний щойно в тебе буде СИЛА 1"
"TID_COLLAB_KATANA_CLUB_WIN_DESCRIPTION","Здобувай перемоги, щоб заробити суші!"
"TID_COLLAB_KATANA_CLUB_LETS_GO","ДАЛІ!"
"TID_COLLAB_KATANA_CLUB_CONTRIBUTE_DESCRIPTION","Додай 1 перемогу, щоб зібрати суші!"
"TID_INBOX_VIEW_BAN","ПЕРЕГЛЯНУТИ"
"TID_MUTATION_COOKER_DESC","Основні атаки не витрачають жар. Бій починається з максимальним рівнем жару!"
"TID_COLLAB_KATANA_SUSHI_EVENT_SKIN","СКІН ПОДІЇ!"
"TID_COLLAB_KATANA_CHAPTER_NEXT_MANGA","НАСТУПНА МАНГА"
"TID_SAMURAI_SMASH_3","Гора Сушимура"
"TID_SAMURAI_SMASH_4","Улоговина Бенто"
"TID_SAMURAI_SMASH_5","Долина Темпура"
"TID_SAMURAI_SMASH_5V5_1","Базар Макі"
"TID_SAMURAI_SMASH_5V5_2","Берега Сашимі"
"TID_SAMURAI_SMASH_5V5_3","Рисовий острів"
"TID_SAMURAI_SMASH_5V5_4","Паровий острів"
"TID_SAMURAI_SMASH_5V5_5","Село риб’ячого клинка"
"TID_COLLAB_KATANA_CONTEST_READY_TOOLTIP","Змагання готове!"
"TID_COLLAB_KATANA_CONTEST_CHOOSE_TOOLTIP","Обирай свою ДОЛЮ!"
"TID_COLLAB_KATANA_UNLOCK_EPIC_BRAWLER_POPUP_INFO","Вигравай <VALUE> суші"
"TID_SHOWDOWN_6101","Замок Кришталевого ока"
"TID_SHOWDOWN_6102","Шукачка"
"TID_KNOCKOUT_6101","Двоповерхівка"
"TID_KNOCKOUT_6102","Вулиці без назви"
"TID_BALL_6101","Трав’яний вузол"
"TID_BALL_6102","Зовнішня спіраль"
"TID_HOTZONE_6101","Абракадабра"
"TID_HOTZONE_6102","Лімінальний простір"
"TID_BANKHEIST_6101","Метро-газон"
"TID_BANKHEIST_6102","Моторошна лагуна"
"TID_GEMGRAB_6101","У рознос"
"TID_GEMGRAB_6102","Складський сектор"
"TID_HC_EVENT_BRAWLERS_SUBTITLE","10 випадкових бійців!"
"TID_NAME_CHANGE_BANNED_FROM_CHATTING","Функції чату та можливість змінити ім’я для тебе заблоковані."
"TID_INBOX_CAPTION_BAN_WARNING","ТОБІ НАДІСЛАНО ПОПЕРЕДЖЕННЯ:"
"TID_INBOX_CAPTION_BAN_MUTE","ФУНКЦІЇ ЧАТУ ДЛЯ ТЕБЕ ЗАБЛОКОВАНІ:"
"TID_BAN_WARNING_NOTIFICATION_TITLE","ТОБІ НАДІСЛАНО ПОПЕРЕДЖЕННЯ"
"TID_BAN_WARNING_NOTIFICATION_BUTTON_OK","ЗРОЗУМІЛО"
"TID_BAN_MUTE_NOTIFICATION_TITLE","ФУНКЦІЇ ЧАТУ ДЛЯ ТЕБЕ ЗАБЛОКОВАНІ"
"TID_BAN_MUTE_NOTIFICATION_BUTTON_OK","ЗРОЗУМІЛО"
"TID_TRUE_GOLD_FINX_SKIN","ЗОЛОТИЙ ФІНКС"
"TID_TRUE_GOLD_FINX_SKIN_SHOP","ЗОЛОТИЙ\nФІНКС"
"TID_TRUE_SILVER_FINX_SKIN","СРІБНИЙ ФІНКС"
"TID_TRUE_SILVER_FINX_SKIN_SHOP","СРІБНИЙ\nФІНКС"
"TID_TRUE_GOLD_LUMI_SKIN","ЗОЛОТА ЛУМІ"
"TID_TRUE_GOLD_LUMI_SKIN_SHOP","ЗОЛОТА\nЛУМІ"
"TID_TRUE_SILVER_LUMI_SKIN","СРІБНА ЛУМІ"
"TID_TRUE_SILVER_LUMI_SKIN_SHOP","СРІБНА\nЛУМІ"
"TID_JAE_JAMMIN_SKIN","ДЖАММІН ДЖЕ"
"TID_JAE_JAMMIN_SKIN_SHOP","ДЖАММІН\nДЖЕ"
"TID_KAZE_FRUITY_SKIN","ФРУКТОВА КАДЗЕ"
"TID_KAZE_FRUITY_SKIN_SHOP","ФРУКТОВА\nКАДЗЕ"
"TID_SAMURAI_ENEMY_POINTS_LEFT","<points> оч. до поразки!"
"TID_MUTED_FEATURE_DISABLED_MESSAGE","Функції чату для тебе заблоковані. Для отримання докладної інформації перейди до розділу «Допомога та підтримка»."
"TID_AVAILABILITY_UNO_TIME_LIMITED","Тимчасовий скін UNO з’являтиметься лише час від часу до кінця вересня 2025 року."
"TID_DAILY_STREAK_RESET_DESCRIPTION","Автоматично скидається за <TIME>"
"TID_GHOST_OVERCHARGE","СПРАВЖНІ ЖАХИ"
"TID_GHOST_OVERCHARGE_DESC","Шейд відновлює <c00cc00><!card.character.ultiSkill.activationSelfStatusEffectOvercharged.component.value.scaleStatToLevel></c> од. здоров’я за кожну секунду всередині стіни."
"TID_HADES_MORTIS_SKIN","АЇД МОРТИС"
"TID_HADES_MORTIS_SKIN_SHOP","АЇД\nМОРТИС"
"TID_CHARIOTEER_BONNIE_SKIN","ІКАР БОННІ"
"TID_CHARIOTEER_BONNIE_SKIN_SHOP","ІКАР\nБОННІ"
"TID_EREBUS_LUMI_SKIN","ПЕРСЕФОНА ЛУМІ"
"TID_EREBUS_LUMI_SKIN_SHOP","ПЕРСЕФОНА\nЛУМІ"
"TID_PEGASUS_BERRY_SKIN","ПЕГАС БЕРРІ"
"TID_PEGASUS_BERRY_SKIN_SHOP","ПЕГАС\nБЕРРІ"
"TID_POLYPHEMUS_DARRYL_SKIN","ЯГНЯТКО ДЕРРІЛ"
"TID_POLYPHEMUS_DARRYL_SKIN_SHOP","ЯГНЯТКО\nДЕРРІЛ"
"TID_HYPNOS_SANDY_SKIN","ГИПНОТИЧНА СЕНДІ"
"TID_HYPNOS_SANDY_SKIN_SHOP","ГИПНОТИЧНА\nСЕНДІ"
"TID_FANTASY_BO_SKIN","КОРОЛЬ СТАРРТУР БО"
"TID_FANTASY_BO_SKIN_SHOP","КОРОЛЬ СТАРРТУР\nБО"
"TID_FANTASY_AMBER_SKIN","ЛИЦАР ЕМБЕР"
"TID_FANTASY_AMBER_SKIN_SHOP","ЛИЦАР\nЕМБЕР"
"TID_FANTASY_DOUG_SKIN","ЛИЦАР ДАГ"
"TID_FANTASY_DOUG_SKIN_SHOP","ЛИЦАР\nДАГ"
"TID_FANTASY_JACKY_SKIN","ЛИЦАР ДЖЕКІ"
"TID_FANTASY_JACKY_SKIN_SHOP","ЛИЦАР\nДЖЕКІ"
"TID_FANTASY_LILY_SKIN","ЛИЦАР ЛІЛІ"
"TID_FANTASY_LILY_SKIN_SHOP","ЛИЦАР\nЛІЛІ"
"TID_FANTASY_BELLE_SKIN","ЛИЦАР БЕЛЛЬ"
"TID_FANTASY_BELLE_SKIN_SHOP","ЛИЦАР\nБЕЛЛЬ"
"TID_ANGEL_BUSTER_SKIN","ЯНГОЛ БАСТЕР"
"TID_ANGEL_BUSTER_SKIN_SHOP","ЯНГОЛ\nБАСТЕР"
"TID_ANGEL_8BIT_SKIN","ПІДНЕСЕНИЙ 8-БІТ"
"TID_ANGEL_8BIT_SKIN_SHOP","ПІДНЕСЕНИЙ\n8-БІТ"
"TID_ANGEL_MEG_SKIN","НЕБЕСНА МЕҐ"
"TID_ANGEL_MEG_SKIN_SHOP","НЕБЕСНА\nМЕҐ"
"TID_DEMON_FANG_SKIN","ПЕКЕЛЬНИЙ ФЕНГ"
"TID_DEMON_FANG_SKIN_SHOP","ПЕКЕЛЬНИЙ\nФЕНГ"
"TID_DEMON_BULL_SKIN","ПЕКЕЛЬНИЙ БУЛЛ"
"TID_DEMON_BULL_SKIN_SHOP","ПЕКЕЛЬНИЙ БУЛЛ"
"TID_DEMON_GUS_SKIN","ПОХМУРИЙ ГАС"
"TID_DEMON_GUS_SKIN_SHOP","ПОХМУРИЙ\nГАС"
"TID_MUSKETEER_JESSIE_SKIN","МУШКЕТЕР ДЖЕССІ"
"TID_MUSKETEER_JESSIE_SKIN_SHOP","МУШКЕТЕР\nДЖЕССІ"
"TID_BIKER_BUSTER_SKIN","БАЙКЕР БАСТЕР"
"TID_BIKER_BUSTER_SKIN_SHOP","БАЙКЕР\nБАСТЕР"
"TID_EGG_XPLOSIVE_TICK_SKIN","ЯЄЧНИЙ ТІК"
"TID_EGG_XPLOSIVE_TICK_SKIN_SHOP","ЯЄЧНИЙ\nТІК"
"TID_CASINO_GRIFF_SKIN","ДЖЕКПОТ ҐРІФ"
"TID_CASINO_GRIFF_SKIN_SHOP","ДЖЕКПОТ\nҐРІФ"
"TID_FANTASY_BO_CHROMA1_SKIN","КОРОЛЬ ЛУЧНИКІВ БО"
"TID_FANTASY_BO_CHROMA1_SKIN_SHOP","КОРОЛЬ ЛУЧНИКІВ\nБО"
"TID_FANTASY_BO_CHROMA2_SKIN","ЛИЦАР БО"
"TID_FANTASY_BO_CHROMA2_SKIN_SHOP","ЛИЦАР\nБО"
"TID_HADES_MORTIS_CHROMA1_SKIN","СЕРАПІС МОРТИС"
"TID_HADES_MORTIS_CHROMA1_SKIN_SHOP","СЕРАПІС\nМОРТИС"
"TID_HADES_MORTIS_CHROMA2_SKIN","ПЛУТО МОРТИС"
"TID_HADES_MORTIS_CHROMA2_SKIN_SHOP","ПЛУТО\nМОРТИС"
"TID_KIT_CHROMA1_SKIN","ТАББІ КІТ"
"TID_KIT_CHROMA1_SKIN_SHOP","ТАББІ\nКІТ"
"TID_KIT_CHROMA2_SKIN","КАЛІКО КІТ"
"TID_KIT_CHROMA2_SKIN_SHOP","КАЛІКО\nКІТ"
"TID_KIT_CHROMA3_SKIN","ГІЗМО КІТ"
"TID_KIT_CHROMA3_SKIN_SHOP","ГІЗМО\nКІТ"
"TID_KIT_CHROMA4_SKIN","МАРІАНО КІТ"
"TID_KIT_CHROMA4_SKIN_SHOP","МАРІАНО КІТ"
"TID_KIT_CHROMA5_SKIN","СІАМСЬКИЙ КІТ"
"TID_KIT_CHROMA5_SKIN_SHOP","СІАМСЬКИЙ\nКІТ"
"TID_KIT_CHROMA6_SKIN","ЮКІ КІТ"
"TID_KIT_CHROMA6_SKIN_SHOP","ЮКІ\nКІТ"
"TID_POCO_GHOST_SKIN","ФАНТОМ ПОКО"
"TID_POCO_GHOST_SKIN_SHOP","ФАНТОМ\nПОКО"
"TID_STALKER","АЛЛІ"
"TID_STALKER_DESC","Аллі — сором’язлива механікиня з Болота Кохання. Вона обожнює бруднити руки: ремонтувати поламані машини або... вистежувати й безжально нищити інших бійців. Якщо пізно вночі дорогою додому ти почуєш дивний шум — це, скоріш за все, Аллі просто хоче привітатись."
"TID_STALKER_WEAPON","БОЛОТНИЙ УДАР"
"TID_STALKER_WEAPON_DESC","Аллі робить ривок уперед і розмахує зброєю на ходу. У кущах або воді Аллі замість цього стрибає вперед."
"TID_STALKER_ULTI","СТАЛКЕР"
"TID_STALKER_ULTI_DESC","Аллі отримує маскування (миготливу невидимість). Атака не припиняє дію маскування. Наступна основна атака Аллі завдає збільшеного ушкодження, що залежить від поточного відсотка здоров’я противника: чим більше здоров’я в противника, тим сильніше вдарить Аллі!"
"TID_STALKER_SP_1","ЯЩІРКА"
"TID_STALKER_SP_1_DESC","У стані люті Аллі відновлює здоров’я значно швидше поза боєм — вже за <c00cc00><VALUE1></c> с після виходу з бою."
"TID_STALKER_SP_2","БІЖИ ХОВАТИСЬ"
"TID_STALKER_SP_2_DESC","У стані люті Аллі перезаряджає атаки на <c00cc00><VALUE1>%</c> швидше."
"TID_STALKER_GADGET_1","ГОДІВЛЯ АЛІГАТОРІВ"
"TID_STALKER_GADGET_1_DESC","Наступна основна атака Аллі відновлює їй здоров’я на <c00cc00><VALUE1>%</c> від завданого ушкодження."
"TID_STALKER_GADGET_2","БЕЗ ЖАЛЮ"
"TID_STALKER_GADGET_2_DESC","Аллі входить у стан люті на наступні <c00cc00><VALUE2></c> с. Можна активувати лише коли в полі зору є противник."
"TID_TITLE_MASTERY_STALKER","Ще побачимось"
"TID_EVENT_MODIFIER_12","ПРОКЛЯТИЙ М’ЯЧ"
"TID_EVENT_MODIFIER_DESC_12","М’яч проклятий!"
"TID_DRAGON_RIDER_OVERCHARGE","ВОГОНЬ І ПОЛУМ’Я"
"TID_DRAGON_RIDER_OVERCHARGE_DESC","Дракон Драко видихає більше полум’я, що охоплює ширшу зону та має більшу дальність."
"TID_EVENT_MODIFIER_45","ДРУЖНІЙ ВОГОНЬ"
"TID_EVENT_MODIFIER_DESC_45","Атаки завдають ушкодження товаришам по команді! Остерігайся випадкових влучань!"
"TID_SKIN_SLOT_DELIVERY_TITLE","РОЗБЛОКОВАНО НОВИЙ СЛОТ ДЛЯ НАВИЧКИ"
"TID_SKIN_SLOT_DELIVERY_SUBTITLE","Додай навичку всім своїм бійцям!"
"TID_DOMAIN","ТРАНК"
"TID_DOMAIN_DESC","Транк — підозріло дивне дерево. Але ж навряд через те, що Транк насправді є колонією надінтелектуальних мурах, які керують механічним деревом? Ні, це просто безглуздо."
"TID_DOMAIN_WEAPON","УВАГА: АТАКА!"
"TID_DOMAIN_WEAPON_DESC","Транк після короткої затримки обертається навколо себе, випускає мурах і завдає ушкодження противникам. Якщо Транк перебуває поруч із мурахами, це дає йому можливість швидше пересуватися (на <c00cc00><VALUE1>%</c>) та завдавати підсилені ушкодження (на <c00cc00><VALUE2>%</c>). Край атаки завдає більше ушкодження противникам."
"TID_DOMAIN_ULTI","КЕРОВАНИЙ ПОМСТОЮ (І МУРАХАМИ)"
"TID_DOMAIN_ULTI_DESC","Транк кидається на противників і залишає слід із мурах. Також може відлітати рикошетом від стін!"
"TID_DOMAIN_SP_1","НОВІ ВОЛОДАРІ КОМАХ"
"TID_DOMAIN_SP_1_DESC","Мурахи зменшують ушкодження від противників на <c00cc00><VALUE1>%</c>"
"TID_DOMAIN_SP_2","РОЗВІДНИКИ КОЛОНІЇ"
"TID_DOMAIN_SP_2_DESC","Мурахи знаходять противників, що ховаються."
"TID_DOMAIN_GADGET_1","ЗА КОРОЛЕВУ!"
"TID_DOMAIN_GADGET_1_DESC","Транк миттєво розсилає мурах на велику територію."
"TID_DOMAIN_GADGET_2","МУРАХИ-ПРАЦІВНИКИ"
"TID_DOMAIN_GADGET_2_DESC","Транк відновлює здоров’я з першого джерела отримуваного ушкодження упродовж подальших <c00cc00><VALUE1></c> с."
"TID_DOMAIN_STAT_DAMAGE_INNER","Ушкодження в центрі атаки"
"TID_DOMAIN_STAT_DAMAGE_OUTER","Ушкодження на краю атаки"
"TID_DOMAIN_STAT_DAMAGE_SUPER","Безперервні ушкодження"
"TID_DOMAIN_OVERCHARGE","ПРОТОПТАНА СТЕЖКА"
"TID_DOMAIN_OVERCHARGE_DESC","Супердія Транка дає йому змогу насилати на противників мурах, які поступово завдають ушкодження."
"TID_TITLE_MASTERY_TRUNK","Контроль мурах"
"TID_DIGGER_OVERCHARGE","ГОЛОВКА СИРУ"
"TID_DIGGER_OVERCHARGE_DESC","Бурильниця Мо має більшу дальність і працює довше!"
"TID_DEMONS_2025_EVENT_MENU_SHORTCUT_1","КОДЕКС"
"TID_DEMONS_2025_EVENT_MENU_SHORTCUT_2","КОЛЕКЦІЯ СКІНІВ"
"TID_DEMONS_2025_EQUIP_SKILL_INFO","Натисни на навичку на лівій сторінці, щоб спорядити її для всіх бійців"
"TID_DEMONS_2025_EQUIP_SKILL_TITLE","СПОРЯДИТИ НАВИЧКУ"
"TID_ARTIE_OVERCHARGE","СПОСТЕРЕЖЕННЯ НА 360º"
"TID_ARTIE_OVERCHARGE_DESC","Після використання гіперзарядженої супердії навколо R-T та його ніг з’являються охоронні лазери, що завдають ушкодження."
"TID_TROPHY_WORLD_COMPENSATION_TITLE","ЛАСКАВО ПРОСИМО ДО ПАРКУ СТАРР!"
"TID_TROPHY_WORLD_COMPENSATION_TEXT","Незібрані нагороди зі старого Шляху трофеїв і майстерностей були зібрані автоматично."
"TID_TROPHY_WORLD_COMPENSATION_COLLECTED_TITLE","ПРОГРЕС ОНОВЛЕНО"
"TID_TROPHY_WORLD_COMPENSATION_COLLECTED_TEXT","Ми автоматично зібрали всі твої потенційні нагороди за прогрес у новому Шляху трофеїв."
"TID_DEMONS_2025_ANGELS_SKILLS_TITLE","ЯНГОЛЬСЬКІ НАВИЧКИ"
"TID_TROPHY_WORLD_NEW_WORLD","НОВИЙ СВІТ!"
"TID_TROPHY_WORLD_NEW_AREA","НОВА ЗОНА!"
"TID_SHOP_SCSTORE_TITLE","+10% ЗА КУПІВЛІ В SUPERCELL STORE"
"TID_SHOP_SCSTORE_LINK","STORE.SUPERCELL.COM"
"TID_TROPHY_WORLD_NAME_1","МІСЬКА ПЛОЩА"
"TID_TROPHY_WORLD_NAME_2","<cd15fff>РЕТРОПОЛІС</c>"
"TID_TROPHY_WORLD_NAME_3","<cfea93b>СВІТ ФРОНТИРУ</c>"
"TID_TROPHY_WORLD_NAME_4","<c3bfe40>ПРОКЛЯТА ГАВАНЬ</c>"
"TID_TROPHY_WORLD_NAME_5","<ca3f81d>ТЕРИТОРІЯ ПРИГОД</c>"
"TID_TROPHY_WORLD_NAME_6","<cff58fd>ТАЄМНИЧА ГОРА</c>"
"TID_TROPHY_WORLD_NAME_7","<cffe258>БРАВЛІВУД</c>"
"TID_TROPHY_WORLD_NAME_8","<c9681ff>КАЗКОВИЙ ЗАМОК</c>"
"TID_TROPHY_WORLD_NAME_9","<c81e0ff>СВІТ МАЙБУТНЬОГО</c>"
"TID_TROPHY_WORLD_NAME_10","<c3cfdff>ВОДНИЙ КРАЙ</c>"
"TID_TROPHY_WORLD_NAME_11","<ce1ff3c>ЧАСОВА ПАСТКА</c>"
"TID_TROPHY_WORLD_NAME_12","<cff933c>МУЗИЧНЕ МІСТЕЧКО</c>"
"TID_TROPHY_WORLD_NAME_13","<cd15fff>МОТОРОШИНЕ</c>"
"TID_TROPHY_WORLD_NAME_14","<cfea93b>ТЕРИТОРІЯ ІГРАШОК</c>"
"TID_TROPHY_WORLD_NAME_15","<cff933c>ЖАХЛИВИЙ МАЄТОК</c>"
"TID_TROPHY_WORLD_INFO_TITLE","ПАРК СТАРР:"
"TID_TROPHY_WORLD_INFO_SUBTITLE","ШЛЯХ ТРОФЕЇВ"
"TID_TROPHY_WORLD_INFO_TEXT1","Здобувай більше трофеїв, щоб рухатись далі Шляхом трофеїв"
"TID_TROPHY_WORLD_INFO_TEXT2","Усього трофеїв = всі трофеї бійців!"
"TID_CTF_16","Важкий понеділок"
"TID_CTF_17","Одразу до висновків"
"TID_CTF_18","Тонкі стіни"
"TID_CTF_19","Паперовий хаос"
"TID_CTF_20","Мільйон доларів"
"TID_ACH_WINS_1_TITLE","БОЄЦЬ-ПОЧАТКІВЕЦЬ <BRAWLER>"
"TID_ACH_WINS_2_TITLE","БОЄЦЬ-ПРЕТЕНДЕНТ <BRAWLER>"
"TID_ACH_WINS_3_TITLE","БОЄЦЬ-БОС <BRAWLER>"
"TID_ACH_WINS_4_TITLE","БОЄЦЬ-МАЙСТЕР <BRAWLER>"
"TID_ACH_WINS_5_TITLE","БОЄЦЬ-НЕВПИННИЙ <BRAWLER>"
"TID_ACH_WINS_DESC","Вигравай матчі (<VALUE>) із бійцем <BRAWLER>"
"TID_ACH_WIN_MATCHES_IN_RANKED_1_TITLE","ЛЮБИТЕЛЬ"
"TID_ACH_WIN_MATCHES_IN_RANKED_2_TITLE","ВПРАВНИЙ"
"TID_ACH_WIN_MATCHES_IN_RANKED_3_TITLE","ДОБРИЙ СОЮЗНИК"
"TID_ACH_WIN_MATCHES_IN_RANKED_4_TITLE","МАЙЖЕ ПРО"
"TID_ACH_WIN_MATCHES_IN_RANKED_DESC","Вигравай матчі (<VALUE>) в ранговому режимі"
"TID_ACH_REACH_GLOBAL_FAME_TITLE","ВИДАТНИЙ"
"TID_ACH_REACH_GLOBAL_FAME_DESC","Досягни «Всесвітньої слави»"
"TID_ACH_OWN_RARE_SKINS_1_TITLE","РІДКІСНИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_RARE_SKINS_2_TITLE","РІДКІСНИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_RARE_SKINS_3_TITLE","РІДКІСНИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_RARE_SKINS_4_TITLE","РІДКІСНИЙ ГАРДЕРОБ IV"
"TID_ACH_OWN_RARE_SKINS_5_TITLE","РІДКІСНИЙ ГАРДЕРОБ V"
"TID_ACH_OWN_RARE_SKINS_DESC","Збери рідкісні скіни (<VALUE>)"
"TID_ACH_OWN_SUPER_RARE_SKINS_1_TITLE","СУПЕРРІДКІСНИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_SUPER_RARE_SKINS_2_TITLE","СУПЕРРІДКІСНИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_SUPER_RARE_SKINS_3_TITLE","СУПЕРРІДКІСНИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_SUPER_RARE_SKINS_4_TITLE","СУПЕРРІДКІСНИЙ ГАРДЕРОБ IV"
"TID_ACH_OWN_SUPER_RARE_SKINS_5_TITLE","СУПЕРРІДКІСНИЙ ГАРДЕРОБ V"
"TID_ACH_OWN_SUPER_RARE_SKINS_DESC","Збери суперрідкісні скіни (<VALUE>)"
"TID_ACH_OWN_EPIC_SKINS_1_TITLE","ЕПІЧНИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_EPIC_SKINS_2_TITLE","ЕПІЧНИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_EPIC_SKINS_3_TITLE","ЕПІЧНИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_EPIC_SKINS_4_TITLE","ЕПІЧНИЙ ГАРДЕРОБ IV"
"TID_ACH_OWN_EPIC_SKINS_5_TITLE","ЕПІЧНИЙ ГАРДЕРОБ V"
"TID_ACH_OWN_EPIC_SKINS_DESC","Збери епічні скіни (<VALUE>)"
"TID_ACH_OWN_MYTHIC_SKINS_1_TITLE","МІФІЧНИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_MYTHIC_SKINS_2_TITLE","МІФІЧНИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_MYTHIC_SKINS_3_TITLE","МІФІЧНИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_MYTHIC_SKINS_DESC","Збери міфічні скіни (<VALUE>)"
"TID_ACH_OWN_LEGENDARY_SKINS_1_TITLE","ЛЕГЕНДАРНИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_LEGENDARY_SKINS_2_TITLE","ЛЕГЕНДАРНИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_LEGENDARY_SKINS_3_TITLE","ЛЕГЕНДАРНИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_LEGENDARY_SKINS_DESC","Збери легендарні скіни (<VALUE>)"
"TID_ACH_OWN_TRUE_SILVER_SKINS_1_TITLE","СРІБНИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_TRUE_SILVER_SKINS_2_TITLE","СРІБНИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_TRUE_SILVER_SKINS_3_TITLE","СРІБНИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_TRUE_SILVER_SKINS_4_TITLE","СРІБНИЙ ГАРДЕРОБ IV"
"TID_ACH_OWN_TRUE_SILVER_SKINS_DESC","Збери срібні скіни (<VALUE>)"
"TID_ACH_OWN_TRUE_GOLD_SKINS_1_TITLE","ЗОЛОТИЙ ГАРДЕРОБ І"
"TID_ACH_OWN_TRUE_GOLD_SKINS_2_TITLE","ЗОЛОТИЙ ГАРДЕРОБ ІІ"
"TID_ACH_OWN_TRUE_GOLD_SKINS_3_TITLE","ЗОЛОТИЙ ГАРДЕРОБ ІІІ"
"TID_ACH_OWN_TRUE_GOLD_SKINS_4_TITLE","ЗОЛОТИЙ ГАРДЕРОБ IV"
"TID_ACH_OWN_TRUE_GOLD_SKINS_DESC","Збери золоті скіни (<VALUE>)"
"TID_ACH_EARN_MANY_STAR_PLAYER_1_TITLE","ЗОРЯНИЙ ГРАВЕЦЬ I"
"TID_ACH_EARN_MANY_STAR_PLAYER_2_TITLE","ЗОРЯНИЙ ГРАВЕЦЬ II"
"TID_ACH_EARN_MANY_STAR_PLAYER_3_TITLE","ЗОРЯНИЙ ГРАВЕЦЬ III"
"TID_ACH_EARN_MANY_STAR_PLAYER_DESC","Здобудь звання «Зоряний гравець» <VALUE> р."
"TID_ACH_TAKEDOWN_ALL_IN_SOLO_SHOWDOWN_MATCH_TITLE","ЧОГО ВТІКАЄШ?"
"TID_ACH_TAKEDOWN_ALL_IN_SOLO_SHOWDOWN_MATCH_DESC","Здолай усіх бійців за один матч у класичному режимі «<GameMode>»"
"TID_ACH_DEAL_DAMAGE_TO_SAFE_IN_HEIST_TITLE","ЗЛАМНИК СЕЙФІВ"
"TID_ACH_DEAL_DAMAGE_TO_SAFE_IN_HEIST_DESC","Завдай <VALUE> од. ушкодження сейфам противників у класичному режимі «<GameMode>»"
"TID_ACH_SCORE_IN_BRAWL_BALL_WITHOUT_DAMAGE_TITLE","СУ-У-У!"
"TID_ACH_SCORE_IN_BRAWL_BALL_WITHOUT_DAMAGE_DESC","Забий голи (<VALUE>) у класичному режимі «<GameMode>» і не отримай жодного ушкодження"
"TID_ACH_UNLEASH_HYPERCHARGES_IN_ONE_MATCH_TITLE","ГІПЕРЗАРЯД"
"TID_ACH_UNLEASH_HYPERCHARGES_IN_ONE_MATCH_DESC","Застосуй гіперзаряди (<GameplayGoal>) за один матч у класичному режимі «<GameMode>»"
"TID_ACH_HEAL_TEAM_HP_IN_ONE_MATCH_TITLE","ЛІКАР"
"TID_ACH_HEAL_N_TEAMMATE_HP_IN_ONE_MATCH_DESC","Віднови <VALUE> од. здоров’я товаришів по команді за один матч у класичному режимі «<GameMode>»"
"TID_ACH_WIN_KNOCKOUT_1V3_TITLE","МАЙСТЕР ЕКСТРИМУ"
"TID_ACH_WIN_KNOCKOUT_1V3_DESC","Залишайся останнім бійцем, що вижив, і виграй раунд у класичному режимі «<GameMode>» проти повного складу команди противників"
"TID_ACH_SCORE_IN_HOCKEY_WITH_BOUNCES_TITLE","РИКОШЕТНИЙ МАЙСТЕР"
"TID_ACH_SCORE_IN_HOCKEY_WITH_BOUNCES_DESC","У класичному режимі «<GameMode>» здобудь очки за рикошети від стін (щонайменше <GameplayGoal> за один удар)"
"TID_ACH_WIN_IN_GEM_GRAB_WHILE_HOLDING_GEMS_TITLE","ЖАДНЮГА"
