"TID","NL"
"TID_SEASON_BOX_INFO_POPUP_SUBTITLE","Verdien seizoenstrofeeën door je knokkers boven de 1000 trofeeën te brengen!"
"TID_SEASON_BOX_INFO_POPUP_LEVELS","TROFEEËNDOOSLEVELS"
"TID_SEASON_BOX_INFO_POPUP_UNLOCKS","ONTGRENDELT BIJ"
"TID_SEASON_BOX_INFO_POPUP_DROPS","GEGARANDEERDE BELONINGEN"
"TID_SEASON_BOX_INFO_POPUP_GUARANTEE","SKIN GEGARANDEERD"
"TID_SEASON_BOX_INFO_POPUP_OTHERS","ANDERE MOGELIJKE BELONINGEN"
"TID_GATCHA_SCREEN_YOU_GOT_CLUB_PIGGY_DROPS","JE HEBT DEZE BELONINGEN UIT MEGADROPS VERZAMELD:"
"TID_SEASON_BOX_INFO_BUTTON","HOE ONTGRENDEL IK TROFEEËNDOZEN?"
"TID_SEASON_BOX_INFO_BUTTON_TOOLTIP","Bereik een totaal van <TOTAL> trofeeën of win <TROPHIES> trofeeën voor een van je knokkers om de trofeeëndoos vol beloningen te ontgrendelen!"
"TID_SEASON_MAX_TROPHIES","SEIZOENSRECORD: <NUM>"
"TID_LEADERBOARD_TAB_CURRENT_SEASON","HUIDIGE SEIZOEN"
"TID_LEADERBOARD_TAB_ALL_TIME_HIGH","ALLER TIJDEN"
"TID_ARCADE_OVERCHARGE","AIMBOT"
"TID_ARCADE_OVERCHARGE_DESC","8-Bits geschut heeft nu een laser die op nabije vijanden schiet. Elk schot brengt <c00cc00><VALUE1></c> schade toe."
"TID_SEASON_BOX_BATTLE_END_LABEL","SEIZOENSVOORTGANG"
"TID_SEASON_BOX_ENDING_TOOLTIP","De exacte timing van het resetten van trofeeën kan verschillen per speler. Maak je klaar om snel je trofeeëndoos te openen!"
"TID_PROFILE_SEASON_PRESTIGES_TITLE","PRESTIGE"
"TID_HOMEPAGE_GUIDE_SEASON_TROPHY_BOX_FEATURE_UNLOCKED","Verdien seizoenstrofeeën om je trofeeëndoos te upgraden!"
"TID_VOODOO_SP_1","DIKHUIDIGE GRIS-GRIS"
"TID_VOODOO_SP_1_DESC","Gris-Gris wordt opgeroepen met een beschermend schild."
"TID_VOODOO_SP_2","VERLAMMENDE NAALDEN"
"TID_VOODOO_SP_2_DESC","De aanval van Gris-Gris vertraagt nu ook de vijand gedurende <c00cc00><VALUE></c> seconden."
"TID_VOODOO_GADGET_1","VOODOO CHILE"
"TID_VOODOO_GADGET_1_DESC","Juju's volgende hoofdaanval heeft de krachten van alle drie de elementen."
"TID_SILENCER_OVERCHARGE","STILLE VERDOVING"
"TID_SILENCER_OVERCHARGE_DESC","Otis' super verdooft nu ook gedurende <c00cc00><VALUE1></c> seconden bij impact."
"TID_VOODOO_GADGET_2","ELEMENTALIST"
"TID_VOODOO_GADGET_2_DESC","Juju krijgt een tijdelijke boost afhankelijk van de omgeving waar ze zich bevindt.\nAarde: schadevermindering\nGras: onzichtbaarheid\nWater: verhoogde bewegingssnelheid"
"TID_VOODOO_PET_DAMAGE","Gris-Gris' schade"
"TID_VOODOO_PET_HEALTH","Gris-Gris' gezondheid"
"TID_BRAWLPASS_POPUP_PLUS_UNLOCKED_PROGRESS_EXTRA","+<PERCENT>% VOORTGANG"
"TID_ROLLER_OVERCHARGE","NITRONEINDIG"
"TID_ROLLER_OVERCHARGE_DESC","Stu's super kan voortdurend gebruikt worden terwijl hij hyperkrachtig is."
"TID_DEMONIC_ABILITY_1","Terugkerende nachtmerrie"
"TID_DEMONIC_ABILITY_2","Vervloekt aandenken"
"TID_DEMONIC_ABILITY_3","Duivelse wrok"
"TID_DEMONIC_ABILITY_4","Zeis van de Dood"
"TID_DEMONIC_ABILITY_5","Demonische woede"
"TID_DEMONIC_ABILITY_6","Onheilige horde"
"TID_DEMONIC_ABILITY_7","Kwaadaardige uitwisseling"
"TID_DEMONIC_ABILITY_8","Demonenvuur"
"TID_ANGELIC_ABILITY_1","Engelenwendbaarheid"
"TID_ANGELIC_ABILITY_2","Verlossende genade"
"TID_ANGELIC_ABILITY_3","Hemelse slag"
"TID_ANGELIC_ABILITY_4","Heilige tocht"
"TID_ANGELIC_ABILITY_5","Goddelijke bescherming"
"TID_ANGELIC_ABILITY_6","Trouwe volgelingen"
"TID_ANGELIC_ABILITY_7","Heilig licht"
"TID_ANGELIC_ABILITY_8","Gezegende kogels"
"TID_DEMONIC_ABILITY_1_DESC","Word onzichtbaar als je vijandelijke knokkers verslaat. <SECOND> Demonische projectielen keren naar je terug."
"TID_DEMONIC_ABILITY_2_DESC","Roep een demon op ter vervanging van een verslagen bondgenoot. <SECOND> Demonische projectielen laten een demonisch gebiedseffect achter."
"TID_DEMONIC_ABILITY_3_DESC","Door schade op te lopen, laad je je super op. <SECOND> Je demonen laten een gebiedseffect achter als ze worden verslagen."
"TID_DEMONIC_ABILITY_4_DESC","Je hoofdaanvallen vuren demonische projectielen af."
"TID_DEMONIC_ABILITY_5_DESC","Als je je super gebruikt, vuur je ook demonische projectielen af."
"TID_DEMONIC_ABILITY_6_DESC","Je super laadt sneller op. <SECOND> Al je huisdieren hebben meer gezondheid."
"TID_DEMONIC_ABILITY_7_DESC","Door een vijandelijke knokker te verslaan, roep je een demonisch gebiedseffect op."
"TID_DEMONIC_ABILITY_8_DESC","Door een vijandelijke knokker te verslaan, roep je een demon op. <SECOND> Demonische gebiedseffecten staan in brand."
"TID_ANGELIC_ABILITY_1_DESC","Je super laadt geleidelijk op. <SECOND> Al je huisdieren vallen sneller aan."
"TID_ANGELIC_ABILITY_2_DESC","Genezen laadt je super op. <SECOND> Engelprojectielen genezen je bondgenoten."
"TID_ANGELIC_ABILITY_3_DESC","Als je je basisaanval gebruikt, vuur je ook engelprojectielen af."
"TID_ANGELIC_ABILITY_4_DESC","Krijg een snelheidsboost na het gebruik van je super. <SECOND> Engelachtige gebiedseffecten roepen een engel op."
"TID_ANGELIC_ABILITY_5_DESC","Je krijgt een tijdelijk schild als je schade uitdeelt. <SECOND> Al je kameraden hebben meer gezondheid."
"TID_ANGELIC_ABILITY_6_DESC","Roept schadelijke engelachtige gebiedseffecten op als je beweegt."
"TID_ANGELIC_ABILITY_7_DESC","Je super creëert een schadelijk engelachtig gebiedseffect."
"TID_ANGELIC_ABILITY_8_DESC","Je herlaadt sneller. <SECOND> Engelachtige gebiedseffecten brengen engelprojectielen voort."
"TID_BARRELBOT_OVERCHARGE","TON VOL KOGELS"
"TID_BARRELBOT_OVERCHARGE_DESC","Hij schiet zijn geweren rondom zichzelf tijdens een Rollende tonnen-aanval. Elk schot brengt <c00cc00><VALUE1></c> schade toe."
"TID_COLLAB_DEMONS_ABILITY_SELECTED","GESELECTEERD"
"TID_COLLAB_DEMONS_ANGELS_TITLE","ENGELEN"
"TID_COLLAB_DEMONS_DEMONS_TITLE","DEMONEN"
"TID_COLLAB_ANGELS_HOW_TO_GET","Alleen beschikbaar als je een engel bent."
"TID_COLLAB_DEMONS_HOW_TO_GET","Alleen beschikbaar als je een demon bent."
"TID_COLLAB_DEMONS_NEW_TOURNAMENT","NIEUWE WEDSTRIJD"
"TID_COLLAB_DEMONS_NEW_DAY","NIEUWE TICKETS!"
"TID_COLLAB_DEMONS_TITLE","ENGELEN VS. DEMONEN"
"TID_COLLAB_DEMONS_RANK","RANG"
"TID_SEASON_BOX_WARNING","HET SEIZOEN EINDIGT BINNENKORT"
"TID_RUFFS_OVERCHARGE","BRAVE JONGEN"
"TID_RUFFS_OVERCHARGE_DESC","Ruffs' super brengt <c00cc00><VALUE1>%</c> meer schade toe en zijn power-up laadt zijn hyperkracht volledig op."
"TID_TITLE_OG_RANK_35","Trofeeëntitaan"
"TID_COLLAB_DEMONS_GACHA_HOW_TO_OPEN","TIKKEN EN VASTHOUDEN!"
"TID_ARTILLERYDUDE_OVERCHARGE","NIEUWE WERPER"
"TID_ARTILLERYDUDE_OVERCHARGE_DESC","Penny zet een groter kanon in dat <c00cc00><VALUE1></c> kanonskogels tegelijk afvuurt in plaats van 1."
"TID_COLLAB_DEMONS_OPEN_MORE_ANGEL_DROPS","Open meer engelendrops"
"TID_COLLAB_DEMONS_OPEN_MORE_DEMON_DROPS","Open meer demonendrops"
"TID_COLLAB_DEMONS_CHANCE_TO_UNLOCK","Kans om te ontgrendelen!"
"TID_COLLAB_DEMONS_CHANCE_TO_UNLOCK_ANGEL","Ontgrendelbaar de volgende dag dat je een engel bent"
"TID_COLLAB_DEMONS_CHANCE_TO_UNLOCK_DEMON","Ontgrendelbaar de volgende dag dat je een demon bent"
"TID_COLLAB_DEMONS_PLAY","SELECTEREN"
"TID_COLLAB_DEMONS_UNAVAILABLE_WHEN_DEMON","Speelbaar de volgende dag dat je een demon bent"
"TID_COLLAB_DEMONS_EVENT_ENDS_IN","Eindigt over:"
"TID_COLLAB_DEMONS_DEMON_FOR","DEMON voor:"
"TID_COLLAB_DEMONS_ANGEL_FOR","ENGEL voor:"
"TID_BUTTON_CHOOSE","KIEZEN"
"TID_BUTTON_LETS_GO","GAAN!"
"TID_COLLAB_DEMONS_UNAVAILABLE_WHEN_ANGEL","Speelbaar de volgende dag dat je een engel bent"
"TID_DEMONS_CHOOSE_SIDE","Je kunt je kant kiezen... voor nu!"
"TID_DEMONS_FREE_WILL","VRIJE WIL"
"TID_COLLAB_BUTTON_ANGELS_FOR","ENGEL gedurende <TIMER>"
"TID_COLLAB_BUTTON_DEMONS_FOR","DEMON gedurende <TIMER>"
"TID_RANDOM_REWARD_DEMONS_TOOLTIP","Win gevechten om elke dag speciale Starr Drops te verdienen. Open ze om beloningen te krijgen die uniek zijn voor de kant die je gekozen hebt!\n\nStarr Drops vernieuwen over <cDE9700><TIME></c>."
"TID_RANDOM_REWARD_SUBWAY_TOOLTIP","Win gevechten om sporen te verdienen. Tsjoeketsjoek!\n\nSporen vernieuwen over: <cDE9700><TIME></c>"
"TID_RANDOM_REWARD_BRAWLOWEEN_2025_TOOLTIP","Win gevechten om snoep te verdienen. Jammie!\n\nSnoepjes vernieuwen over: <cDE9700><TIME></c>"
"TID_CONFIRM_LEAVE_CLUB_TITLE","EIGEN CLUB VERLATEN?"
"TID_CONFIRM_LEAVE_CLUB_DESCRIPTION","Weet je zeker dat je je eigen club (<c00ff00><CLUB1></c>) wilt verlaten en je wilt aansluiten bij <c00ff00><CLUB2></c>?"
"TID_CONFIRM_LEAVE_CLUB_LEAVE_BUTTON","JA"
"TID_CONFIRM_LEAVE_CLUB_CANCEL_BUTTON","ANNULEREN"
"TID_SKIN_INFO_ANGELDEMONS","ENGELEN VS. DEMONEN"
"TID_TILE_MASTERY_VOODOO","Vervloekt"
"TID_TILE_MASTERY_GHOST","Spooksel"
"TID_COLLAB_4","CHAOS"
"TID_COLLAB_5","ENGELEN & DEMONEN"
"TID_COLLAB_DEMONS_LEADERBOARD_TITLE","WEDSTRIJD"
"TID_SCOREBOARD_MORE_TICKETS_IN","+ <NUM> over <cffffff><TIME></c>"
"TID_SCOREBOARD_ENDS_IN","Wedstrijd eindigt over <cffffff><TIME></c>"
"TID_SCOREBOARD_JOINING_NEXT_SCOREBOARD","Wedstrijd begint over"
"TID_SCOREBOARD_JOINING","Deelnemen aan wedstrijd!\nEven geduld..."
"TID_SCOREBOARD_CALCULATING_REWARDS","Wachten op beloningen..."
"TID_SCOREBOARD_EVENT_OVER","WEDSTRIJDEN VOLTOOID!"
"TID_SCOREBOARD_WARNING_NOT_ENOUGH_TICKETS","Niet genoeg tickets"
"TID_SCOREBOARD_WARNING_NEED_TO_CLAIM_TICKETS_FIRST","Claim je tickets voordat je gaat spelen!"
"TID_SCOREBOARD_GAME_MODE_ONE_TOP_PLAY","Nog 1 te SPELEN"
"TID_SCOREBOARD_DAY_X_OF_Y","DAG <NUM>/<TOTAL>"
"TID_SCOREBOARD_END_NOTIFICATION","Je hebt meegedaan aan een wedstrijd en RANG <POSITION> bereikt!"
"TID_SCOREBOARD_HOMESCREEN_TICKET_TOOLTIP","Resterende deelnametickets voor wedstrijd. Elke overwinning met een ticket verhoogt je positie op het scorebord!"
"TID_SCOREBOARD_BATTLE_SCORE_TITLE","JE SCORE"
"TID_SCOREBOARD_BATTLE_END_SCORE_SHOWER","BASISSCORE"
"TID_SCOREBOARD_BATTLE_END_SCORE_TIME_BONUS","Tijdsbonus"
"TID_TEMPORARY_HERO_TEARDOWN_NOTIFICATION","<HERO> is niet meer beschikbaar. Haal niet-geclaimde meesterschapsbeloningen op via de notificatie."
"TID_TEMPORARY_HERO_TEARDOWN_WITHOUT_REWARDS_NOTIFICATION","<HERO> is niet meer beschikbaar."
"TID_CLUB_PIGGY_BANK_HOMESCREEN_TICKET_TOOLTIP","Resterende deelnametickets voor megavarken. Elke overwinning met een ticket vult het megavarken voor je club!"
"TID_CLUB_XMAS_HOMESCREEN_TICKET_TOOLTIP","Resterende deelnametickets voor de megaboom. Elke overwinning met een ticket vult de megaboom voor je club!"
"TID_COLLAB_DEMONS_NEW_TOURNAMENT_ENEMIES_FOUND","Deelnemers geselecteerd"
"TID_COLLAB_DEMONS_NEW_SCOREBOARD_TOOLTIP","Doe mee aan een wedstrijd!"
"TID_COLLAB_DEMONS_NEW_DAY_TOOLTIP","Claim tickets!"
"TID_SEASON_BOX_INFO_POPUP_RARITIES","DROPKANS"
"TID_TILE_BATTLEPASSPLUS_SEASON32","Bovennatuurlijk"
"TID_TILE_BATTLEPASSPLUS_SEASON33","Geanimeerd"
"TID_BRAWL_PASS_SEASON_31","ENGELEN VS. DEMONEN"
"TID_BRAWL_PASS_SEASON_32","STARR TOON STUDIOS 2"
"TID_COLLAB_DEMONS_ABILITY_CONTINUE","DOORGAAN"
"TID_COLLAB_DEMONS_ABILITY_EQUIP","UITRUSTEN"
"TID_COLLAB_DEMONS_ABILITY_ANGELS","ENGELENVAARDIGHEID"
"TID_COLLAB_DEMONS_ABILITY_DEMONS","DEMONENVAARDIGHEID"
"TID_COLLAB_DEMONS_ABILITY_TEMPORARILY_AVAILABLE","Tijdelijk beschikbaar gedurende <TIME>"
"TID_COLLAB_DEMONS_ABILITY_ACTIVE_ANGELS","Actief voor alle knokkers als je een engel bent"
"TID_COLLAB_DEMONS_ABILITY_ACTIVE_DEMONS","Actief voor alle knokkers als je een demon bent"
"TID_COLLAB_DEMONS_ABILITIES_COMPLETE","VOLTOOID"
"TID_COLLAB_DEMONS_ABILITIES_ACTIVE","ACTIEF"
"TID_COLLAB_DEMONS_GACHA_CLAIM","CLAIMEN"
"TID_COLLAB_DEMONS_GACHA_ANGELS","Engelendrops"
"TID_COLLAB_DEMONS_GACHA_DEMONS","Demonendrops"
"TID_KILL_CONFIRMED_INTRO_TEXT","Verzamel de zielen van verslagen tegenstanders!"
"TID_DELIVERY_AVATAR_PASSIVES_FOR","Tijdelijk beschikbaar gedurende <TIMER>"
"TID_SHOP_OFFER_TITLE_58","Engelendrop"
"TID_SHOP_OFFER_TITLE_59","Demonendrop"
"TID_SHOP_OFFER_INFO_58","Engelendrops bevatten beloningen waarvan sommige uniek zijn voor engelen!"
"TID_SHOP_OFFER_INFO_59","Demonendrops bevatten beloningen waarvan sommige uniek zijn voor demonen!"
"TID_CINEMA_GHOST_SHADE_SKIN","CINEMA-SHADE"
"TID_CINEMA_GHOST_SHADE_SKIN_SHOP","CINEMA-\nSHADE"
"TID_RUDE_ICE_DUDE_SKIN","GEMENE LOU"
"TID_RUDE_ICE_DUDE_SKIN_SHOP","GEMENE\nLOU"
"TID_SUGARPLUM_ROSA_SKIN","SUIKERPRUIM-ROSA"
"TID_SUGARPLUM_ROSA_SKIN_SHOP","SUIKERPRUIM-\nROSA"
"TID_BIZARRE_MAISIE_SKIN","GEWELDIGE MAISIE"
"TID_BIZARRE_MAISIE_SKIN_SHOP","GEWELDIGE\nMAISIE"
"TID_TOON_KNIGHT_SKIN","ASH BOY"
"TID_TOON_KNIGHT_SKIN_SHOP","ASH BOY"
"TID_TOON_DUELIST_SKIN","PAPIEREN CORDELIUS"
"TID_TOON_DUELIST_SKIN_SHOP","PAPIEREN\nCORDELIUS"
"TID_SOUS_CHEF_RUFFS_SKIN","SOUSCHEF RUFFS"
"TID_SOUS_CHEF_RUFFS_SKIN_SHOP","SOUSCHEF\nRUFFS"
"TID_HIGH_FLYER_CHOLLA_SKIN","HOOGVLIEGER-LOLA"
"TID_HIGH_FLYER_CHOLLA_SKIN_SHOP","HOOGVLIEGER-\nLOLA"
"TID_RUSTY_OTIS_SKIN","ROESTIGE OTIS"
"TID_RUSTY_OTIS_SKIN_SHOP","ROESTIGE\nOTIS"
"TID_CLAN_ENTRY_ACTIVE_MEMBERS","<COUNT> actieve leden deze week"
"TID_CLAN_ENTRY_ACTIVE_MEMBER","<COUNT> actief lid deze week"
"TID_SKIN_INFO_USA","VRIJHEID!"
"TID_SEASON_BOX_INFO_POPUP_TOOLTIP","Verhoog het level van je trofeeëndoos door seizoenstrofeeën te verdienen! Trofeeëndozen krijg je aan het einde van het seizoen en het aantal seizoenstrofeeën\ngaat terug naar 0."
"TID_COLLAB_DEMONS_ABILITY_BANKED_ANGELS","Ontgrendelde vaardigheden onthuld en te gebruiken wanneer je een engel bent"
"TID_COLLAB_DEMONS_ABILITY_BANKED_DEMONS","Ontgrendelde vaardigheden onthuld en te gebruiken wanneer je een demon bent"
"TID_HERO_SCORE_INFO_MAXED_COMPACT_NEW","Hoogste trofeeëndrempel bereikt!\n\nTrofeeën boven de 1000 tellen als seizoenstrofeeën! Het aantal trofeeën van knokkers gaat terug naar 1000 aan het einde van het seizoen."
"TID_PROFILE_PRESTIGE_TOOLTIP","Verdien prestige door je te plaatsen in het seizoensklassement van knokkers."
"TID_COLLAB_DEMONS_SIDE_TIME","ACTIEF gedurende <TIMER>"
"TID_COLLAB_DEMONS_ALL_BRAWLERS_ANGELS","Alle knokkers zijn engelen."
"TID_COLLAB_DEMONS_ALL_BRAWLERS_DEMONS","Alle knokkers zijn demonen."
"TID_SKIN_DISABLED_CURRENTLY_START_GAME","De geselecteerde skin is tijdelijk niet beschikbaar, maar zal binnenkort weer terugkeren!"
"TID_INBOX_CAPTION_TROPHY_BOX_S_DONATION","DONATIE: KLEINE TROFEEËNDOOS"
"TID_INBOX_CAPTION_TROPHY_BOX_M_DONATION","DONATIE: GROTE TROFEEËNDOOS"
"TID_INBOX_CAPTION_TROPHY_BOX_L_DONATION","DONATIE: MEGA-TROFEEËNDOOS"
"TID_INBOX_CAPTION_TROPHY_BOX_XL_DONATION","DONATIE: OMEGA-TROFEEËNDOOS"
"TID_INBOX_CAPTION_TROPHY_BOX_XXL_DONATION","DONATIE: ULTRA-TROFEEËNDOOS"
"TID_INBOX_CAPTION_STARR_DROP_ANGEL_DONATION","DONATIE: <NUM> ENGEL-STARR DROPS"
"TID_INBOX_CAPTION_STARR_DROP_DEMON_DONATION","DONATIE: <NUM> DEMON-STARR DROPS"
"TID_SIEGE_SMALL_1","Goddelijke afdaling"
"TID_SIEGE_SMALL_2","Helse heuvels"
"TID_SIEGE_SMALL_3","Laatste front"
"TID_SIEGE_SMALL_4","Inferno-invasie"
"TID_SIEGE_SMALL_5","Hemelstocht"
"TID_SIEGE_SMALL_6","Kloofoffensief"
"TID_SIEGE_SMALL_7","Glanzend geraas"
"TID_SIEGE_SMALL_8","Onderwereldopstand"
"TID_UNLUCKY_VOODOO_SKIN","PECHVOGEL JUJU"
"TID_UNLUCKY_VOODOO_SKIN_SHOP","PECHVOGEL\nJUJU"
"TID_ANGEL_LARRY_&_LAWRIE_SKIN","ENGEL-LARRY & LAWRIE"
"TID_ANGEL_LARRY_&_LAWRIE_SKIN_SHOP","ENGEL-\nLARRY & LAWRIE"
"TID_MAX_ANGEL_SKIN","ENGEL-MAX"
"TID_MAX_ANGEL_SKIN_SHOP","ENGEL-\nMAX"
"TID_LILY_ANGEL_SKIN","ENGEL-LILY"
"TID_LILY_ANGEL_SKIN_SHOP","ENGEL-\nLILY"
"TID_GENE_ANGEL_SKIN","ENGEL-GENE"
"TID_GENE_ANGEL_SKIN_SHOP","ENGEL-\nGENE"
"TID_WILLOW_DEMON_SKIN","DEMON-WILLOW"
"TID_WILLOW_DEMON_SKIN_SHOP","DEMON-\nWILLOW"
"TID_UNDERTAKER_DEMON_SKIN","DEMON-MORTIS"
"TID_UNDERTAKER_DEMON_SKIN_SHOP","DEMON-\nMORTIS"
"TID_DEMON_OTIS_SKIN","DEMON-OTIS"
"TID_DEMON_OTIS_SKIN_SHOP","DEMON-\nOTIS"
"TID_DEMON_EMZ_SKIN","DEMON-EMZ"
"TID_DEMON_EMZ_SKIN_SHOP","DEMON-\nEMZ"
"TID_ANGEL_RADIANT_LARRY_&_LAWRIE_SKIN","STRALENDE LARRY & LAWRIE"
"TID_ANGEL_RADIANT_LARRY_&_LAWRIE_SKIN_SHOP","STRALENDE\nLARRY & LAWRIE"
"TID_ANGEL_DARK_LARRY_&_LAWRIE_SKIN","DUISTERE ENGEL-LARRY & LAWRIE"
"TID_ANGEL_DARK_LARRY_&_LAWRIE_SKIN_SHOP","DUISTERE ENGEL-\nLARRY & LAWRIE"
"TID_DARK_ANGEL_EDGAR_SKIN","DUISTERE ENGEL-EDGAR"
"TID_DARK_ANGEL_EDGAR_SKIN_SHOP","DUISTERE ENGEL-\nEDGAR"
"TID_LIGHTBEARER_EDGAR_SKIN","LICHTBRENGER EDGAR"
"TID_LIGHTBEARER_EDGAR_SKIN_SHOP","LICHTBRENGER\nEDGAR"
"TID_DEVILISH_UNDERTAKER_DEMON_SKIN","DUIVELSE MORTIS"
"TID_DEVILISH_UNDERTAKER_DEMON_SKIN_SHOP","DUIVELSE\nMORTIS"
"TID_LAMBENT_UNDERTAKER_DEMON_SKIN","VURIGE MORTIS"
"TID_LAMBENT_UNDERTAKER_DEMON_SKIN_SHOP","VURIGE\nMORTIS"
"TID_REQUIEM_BIZARRE_MAISIE_SKIN","FUCHSIA MAISIE"
"TID_REQUIEM_BIZARRE_MAISIE_SKIN_SHOP","FUCHSIA\nMAISIE"
"TID_PLATINUM_BIZARRE_MAISIE_SKIN","TITANIUM MAISIE"
"TID_PLATINUM_BIZARRE_MAISIE_SKIN_SHOP","TITANIUM\nMAISIE"
"TID_LIGHT_ANGEL_COLT_SKIN","LICHTENGEL-COLT"
"TID_LIGHT_ANGEL_COLT_SKIN_SHOP","LICHTENGEL-\nCOLT"
"TID_TRUE_GOLD_HANK_SKIN","MASSIEF GOUDEN HANK"
"TID_TRUE_GOLD_HANK_SKIN_SHOP","MASSIEF GOUDEN\nHANK"
"TID_TRUE_SILVER_HANK_SKIN","MASSIEF ZILVEREN HANK"
"TID_TRUE_SILVER_HANK_SKIN_SHOP","MASSIEF ZILVEREN\nHANK"
"TID_TRUE_GOLD_SAMURAI_SKIN","MASSIEF GOUDEN KENJI"
"TID_TRUE_GOLD_SAMURAI_SKIN_SHOP","MASSIEF GOUDEN\nKENJI"
"TID_TRUE_SILVER_SAMURAI_SKIN","MASSIEF ZILVEREN KENJI"
"TID_TRUE_SILVER_SAMURAI_SKIN_SHOP","MASSIEF ZILVEREN\nKENJI"
"TID_TRUE_GOLD_DIGGER_SKIN","MASSIEF GOUDEN MOE"
"TID_TRUE_GOLD_DIGGER_SKIN_SHOP","MASSIEF GOUDEN\nMOE"
"TID_TRUE_SILVER_DIGGER_SKIN","MASSIEF ZILVEREN MOE"
"TID_TRUE_SILVER_DIGGER_SKIN_SHOP","MASSIEF ZILVEREN\nMOE"
"TID_IMPIE_RED_TRIXIE_COLETTE_SKIN","DUIVELSE COLETTE"
"TID_IMPIE_RED_TRIXIE_COLETTE_SKIN_SHOP","DUIVELSE\nCOLETTE"
"TID_CROW_FREEDOM_SKIN","VRIJHEID-CROW"
"TID_CROW_FREEDOM_SKIN_SHOP","VRIJHEID-\nCROW"
"TID_NIGHTBRINGER_EDGAR_SKIN","NACHTBRENGER EDGAR"
"TID_NIGHTBRINGER_EDGAR_SKIN_SHOP","NACHTBRENGER\nEDGAR"
"TID_COLLAB_DEMONS_CONTEST_ENDS_IN","Einde wedstrijd:"
"TID_COLLAB_DEMONS_TOURNAMENT_TITLE","WEDSTRIJD AFGELOPEN"
"TID_COLLAB_DEMONS_TOURNAMENT_END_TITLE","Kies je beloningen!"
"TID_COLLAB_DEMONS_COMPETE_FOR_WINS","Vecht voor overwinningen!"
"TID_COLLAB_DEMONS_NEXT_ABILITY_ANGELS","Ontgrendel volgende vaardigheid"
"TID_COLLAB_DEMONS_NEXT_ABILITY_DEMONS","Ontgrendel volgende vaardigheid"
"TID_COLLAB_DEMONS_TEMPORARY_ABILITIES","De vaardigheden worden na het evenement verwijderd."
"TID_KILL_CONFIRMED_1","Papieren vijver"
"TID_KILL_CONFIRMED_2","Vierkant fort"
"TID_KILL_CONFIRMED_3","Kippenkamer"
"TID_KILL_CONFIRMED_4","Hoepla-heuvel"
"TID_KILL_CONFIRMED_5","Knotsgek hek"
"TID_KILL_CONFIRMED_6","Achterarena"
"TID_COLLAB_DEMONS_ABILITIES_ACTIVE_DEMONS","Actief voor alle knokkers als je een demon bent."
"TID_COLLAB_DEMONS_ABILITIES_ACTIVE_ANGELS","Actief voor alle knokkers als je een engel bent."
"TID_COLLAB_DEMONS_TEMPORARY_EVENT","Collab-evenement"
"TID_COLLAB_DEMONS_FLIPPING_COIN","JE LOT WORDT BESLIST..."
"TID_COLLAB_DEMONS_INFO_TXT_1","Meld je dagelijks aan om te zien of je een engel of een demon bent!"
"TID_COLLAB_DEMONS_INFO_TXT_2","Open engelen- en demonendrops voor speciale beloningen."
"TID_COLLAB_DEMONS_INFO_TXT_3","Ontgrendel tijdelijke vaardigheden die alle knokkers sterker maken!"
"TID_COLLAB_DEMONS_INFO_TXT_4","Open engelen- of demonendrops om vaardigheden te krijgen!"
"TID_COLLAB_DEMONS_TEASER_INFO","OPENT over <TIMER>"
"TID_COLLAB_DEMONS_CONTEST_RANKING","WEDSTRIJDRESULTATEN"
"TID_COLLAB_DEMONS_CONTEST_REWARD_OR","OF"
"TID_COLLAB_SUBWAY_TEASER_INFO","BEGINT over <TIMER>"
"TID_EVENT_MODIFIER_42","CHAOS"
"TID_EVENT_MODIFIER_DESC_42","Engelen- en demonenvaardigheden zijn actief in deze modus."
"TID_AVATAR_PASSIVES_DELIVERY_BOTTOM_RIGHT","Beschikbaar in modi met de chaosmodificatie."
"TID_COLLAB_DEMONS_CHAOS_MOD","Actief over"
"TID_CRITICAL_DAMAGE_NUMBER","<DAMAGE>!"
"TID_TAGTEAM_581","Zen-tuin"
"TID_TAGTEAM_582","Zwemtalent"
"TID_TAGTEAM_583","Verstrikte struiken"
"TID_TAGTEAM_584","Gebroken"
"TID_TAGTEAM_585","Verdoemde pilaren"
"TID_TAGTEAM_586","Sprinkhaanklauw"
"TID_TAGTEAM_587","Verdedigingslinie"
"TID_TAGTEAM_588","Te cool voor de zomer"
"TID_HOTZONE_581","Haast"
"TID_HOTZONE_582","Van schemering tot dageraad"
"TID_GEMGRAB_581","Ananasplaza"
"TID_GEMGRAB_582","Kurkentrekker"
"TID_KNOCKOUT_581","Dankbaarheid"
"TID_BALL_581","Zwakke voet"
"TID_BALL_582","Van ver verblind"
"TID_BANKHEIST_581","Elektrostorm"
"TID_DEMONS_TOURNAMENT_END_RANKINGS","POSITIES"
"TID_COLLAB_TS_BATTLE_MODE_SELECT","SELECTEER EEN GEVECHTSMODUS!"
"TID_COLLAB_TS_POWER_INFINITY","ONEINDIGE KRACHT"
"TID_COLLAB_TS_TEASER_BUTTON_OPEN","OPENT OVER"
"TID_COLLAB_TS_BATTLE_MODE_LASER","LASERMODUS"
"TID_COLLAB_TS_BATTLE_MODE_SWORD","SABELMODUS"
"TID_COLLAB_TS_BATTLE_MODE_FLIGHT","VLEUGELMODUS"
